V160001_orig,p_trump,p_clinton,V162062x,V161310x,V162174,V161126,V161158x,V161244,V161267,V161342,V162256,V162125x,V161010d
300165,0.0387604,0.9612396,1,2,1,2,1,1,68,2,2,1,47
300168,0.018066502,0.981933498,1,6,1,-8,1,1,60,1,1,1,24
300169,0.006056457,0.993943543,1,5,1,2,3,2,36,2,2,4,6
300170,0.060762371,0.939237629,1,5,2,99,2,2,27,2,3,2,6
300171,0.361477767,0.638522233,-2,3,1,4,6,1,-8,1,2,1,6
300172,0.723522048,0.276477952,2,1,1,4,5,1,46,2,1,2,45
300175,0.299334399,0.700665601,1,1,1,3,3,2,35,1,2,3,18
300176,0.482751222,0.517248778,-2,1,2,4,5,2,44,2,4,2,20
300177,0.467658139,0.532341861,1,2,2,99,2,1,78,2,4,1,11
300179,0.907446158,0.092553842,-2,1,-6,6,5,1,83,1,-6,-6,5
300180,0.075857424,0.924142576,1,5,1,4,-9,2,65,2,2,3,6
300181,0.253801234,0.746198766,1,1,1,4,1,1,55,1,2,2,18
300182,0.031866625,0.968133375,1,5,1,99,1,1,69,2,1,1,6
300184,0.021243383,0.978756617,1,2,1,4,3,1,55,1,1,4,34
300185,0.059684719,0.940315281,-2,1,1,3,3,1,31,1,2,4,27
300186,0.032205366,0.967794634,1,1,1,2,3,1,68,1,2,2,17
300187,0.815171632,0.184828368,2,1,1,4,5,1,42,1,1,2,42
300188,0.910645973,0.089354027,2,1,1,6,7,1,82,2,2,1,6
300195,0.948570464,0.051429536,-2,1,-6,7,7,1,53,2,-6,-6,13
300196,0.978317931,0.021682069,-2,1,-6,6,7,2,65,1,-6,-6,20
300198,0.111412071,0.888587929,-2,2,2,2,2,1,42,2,4,4,13
300200,0.226806798,0.773193202,-2,5,-6,4,2,2,48,1,-6,-6,48
300204,0.0721182,0.9278818,1,1,1,2,1,1,30,1,2,1,4
300207,0.615810969,0.384189031,2,6,1,5,5,1,23,2,2,1,22
300209,0.564148044,0.435851956,1,1,1,5,6,1,51,1,3,2,55
300210,0.95120485,0.04879515,-2,1,-6,99,7,2,31,2,-6,-6,55
300212,0.047946802,0.952053198,-2,5,-6,4,1,1,68,1,-6,-6,6
300215,0.504881251,0.495118749,-2,1,1,4,4,1,66,2,2,4,18
300217,0.438144354,0.561855646,2,1,2,5,6,1,29,2,4,1,17
300222,0.03127901,0.96872099,1,1,1,2,1,2,36,2,2,2,48
300224,0.102236573,0.897763427,1,1,1,3,1,2,47,2,2,1,42
300227,0.828561016,0.171438984,1,1,1,5,4,2,61,1,2,1,48
300228,0.011382906,0.988617094,1,1,1,2,1,1,26,2,2,3,8
300230,0.984024293,0.015975707,-2,1,2,99,7,2,88,1,-8,1,48
300232,0.008116612,0.991883388,2,6,1,1,1,2,83,2,2,1,25
300234,0.03357314,0.96642686,3,1,1,3,3,2,51,1,1,3,25
300235,0.629592249,0.370407751,1,1,1,5,6,2,36,1,3,3,18
300237,0.023273699,0.976726301,1,1,1,4,3,1,68,2,3,4,6
300238,0.096766584,0.903233416,-2,5,1,4,3,1,23,1,2,4,48
300240,0.68345954,0.31654046,-2,1,1,99,5,1,34,2,3,1,4
300242,0.753436825,0.246563175,2,1,1,4,5,1,58,2,3,1,13
300244,0.882024362,0.117975638,2,6,1,5,5,1,69,1,1,1,37
300245,0.203268414,0.796731586,-2,5,2,99,3,2,19,1,4,2,48
300246,0.073631949,0.926368051,1,5,1,99,2,1,30,1,3,4,6
300248,0.623372534,0.376627466,2,1,1,4,4,2,75,2,1,1,42
300250,0.656522628,0.343477372,2,1,1,4,5,2,50,1,3,1,24
300252,0.04545266,0.95454734,1,5,1,99,1,1,54,1,2,1,35
300254,0.201565313,0.798434687,-2,1,2,99,1,1,38,2,3,1,37
300255,0.398674445,0.601325555,2,1,1,4,6,2,27,2,2,1,37
300256,0.734823384,0.265176616,2,1,2,99,5,2,69,2,4,2,20
300259,0.909189991,0.090810009,-2,5,-6,5,7,1,43,2,-6,-6,47
300261,0.535877066,0.464122934,3,3,2,4,5,2,33,2,4,1,16
300264,0.490008584,0.509991416,-2,1,-6,4,5,1,87,2,-6,-6,6
300267,0.730948751,0.269051249,-2,1,1,6,6,2,26,1,3,2,16
300269,0.290967278,0.709032722,5,5,1,3,6,1,34,2,2,2,48
300270,0.018844825,0.981155175,1,1,1,2,3,1,33,2,1,4,48
300273,0.47949334,0.52050666,2,1,2,6,6,1,57,1,3,2,24
300276,0.461402618,0.538597382,3,1,1,4,5,1,27,1,2,3,6
300278,0.367506611,0.632493389,2,5,1,5,5,2,38,2,1,1,6
300279,0.500920541,0.499079459,1,1,2,99,1,2,81,1,4,1,47
300280,0.256865198,0.743134802,-2,1,1,4,3,1,51,2,3,1,33
300282,0.102816247,0.897183753,1,1,1,4,3,1,75,2,2,1,17
300284,0.952675738,0.047324262,2,1,1,4,7,1,74,2,1,1,47
300289,0.043267744,0.956732256,1,1,1,4,3,2,43,1,2,3,25
300297,0.207718348,0.792281652,1,1,1,4,1,1,58,1,2,1,11
300299,0.022388648,0.977611352,3,1,1,1,3,2,36,2,1,3,20
300303,0.757867913,0.242132087,-2,1,1,99,6,1,23,2,3,1,47
300304,0.965446092,0.034553908,-2,1,1,7,7,2,88,2,2,1,40
300307,0.854207063,0.145792937,2,1,1,5,5,1,57,2,3,1,47
300312,0.01609099,0.98390901,1,1,1,2,1,2,59,2,2,2,35
300313,0.970114914,0.029885086,2,1,1,6,7,1,86,2,2,1,37
300317,0.032926304,0.967073696,-2,5,-6,1,1,2,57,1,-6,-6,35
300322,0.48345857,0.51654143,2,1,1,99,4,1,84,2,3,1,27
300325,0.218524922,0.781475078,-2,5,1,5,2,2,60,1,4,4,48
300326,0.019819751,0.980180249,1,1,1,2,1,2,45,1,1,4,53
300327,0.933471229,0.066528771,-2,1,-6,4,7,2,30,1,-6,-6,37
300333,0.836709966,0.163290034,-2,1,-6,6,4,1,78,1,-6,-6,34
300334,0.059650314,0.940349686,1,2,1,5,1,1,72,2,2,1,45
300335,0.067726737,0.932273263,1,1,1,3,3,2,36,1,2,3,53
300336,0.496038143,0.503961857,1,1,2,5,1,2,86,1,4,1,42
300339,0.0267712,0.9732288,1,1,1,2,1,2,55,-9,1,1,12
300342,0.73396093,0.26603907,3,1,1,99,5,1,50,2,2,2,20
300343,0.041230701,0.958769299,1,2,1,2,2,1,68,1,1,3,11
300344,0.063210489,0.936789511,1,1,1,2,1,2,69,1,2,2,13
300345,0.803694954,0.196305046,2,1,1,4,5,1,62,2,1,1,33
300352,0.526755129,0.473244871,-2,1,1,4,5,2,42,1,2,2,17
300360,0.042714751,0.957285249,2,6,1,4,2,2,42,2,2,1,6
300361,0.88711985,0.11288015,3,1,1,4,5,1,25,1,2,1,28
300363,0.834636488,0.165363512,2,5,1,6,5,2,55,1,1,1,25
300364,0.013110532,0.986889468,1,1,1,2,1,1,76,2,1,4,9
300371,0.005462326,0.994537674,1,1,1,1,1,2,31,2,1,4,24
300375,0.574810798,0.425189202,-2,1,-6,99,2,2,52,1,-6,-6,39
300376,0.036938221,0.963061779,1,5,1,2,3,2,35,1,2,4,20
300377,0.133124709,0.866875291,1,2,1,6,1,1,25,1,1,4,37
300383,0.963176772,0.036823228,3,4,1,6,7,1,34,2,1,1,40
300386,0.258778446,0.741221554,2,1,1,99,4,2,38,2,2,3,17
300387,0.919348651,0.080651349,2,1,1,5,5,1,73,-9,1,1,51
300389,0.10493438,0.89506562,1,1,1,4,2,1,52,2,2,1,6
300393,0.841484464,0.158515536,-2,1,-6,4,7,1,66,2,-6,-6,55
300398,0.041682683,0.958317317,1,1,1,4,2,2,65,2,-9,2,25
300400,0.940869853,0.059130147,2,1,1,5,7,1,45,2,2,1,45
300402,0.94150726,0.05849274,2,1,1,99,7,1,59,1,2,2,4
300403,0.394190995,0.605809005,-2,5,1,99,5,1,25,1,3,4,6
300404,0.017911236,0.982088764,1,1,1,2,1,2,37,2,2,3,36
300406,0.086228117,0.913771883,1,1,1,99,1,2,66,2,2,1,48
300408,0.977389213,0.022610787,2,1,1,6,7,1,74,1,2,1,28
300423,0.426735778,0.573264222,-2,3,-6,4,4,1,28,1,-6,-6,9
300424,0.076602952,0.923397048,1,2,1,4,1,1,57,2,1,1,45
300434,0.780154388,0.219845612,-2,1,-6,99,4,1,27,1,-6,-6,28
300437,0.091965176,0.908034824,2,1,1,3,2,2,24,1,2,4,17
300448,0.796571201,0.203428799,-2,1,2,99,5,1,23,1,2,1,6
300450,0.173659899,0.826340101,2,1,1,3,3,2,43,1,2,1,26
300453,0.284911671,0.715088329,2,1,1,4,5,1,58,2,2,2,9
300454,0.041101351,0.958898649,-2,2,1,99,1,1,42,2,2,1,28
300456,0.176324758,0.823675242,1,4,1,4,2,2,57,2,4,1,35
300458,0.013026009,0.986973991,1,6,1,5,3,1,30,2,1,4,12
300460,0.283921534,0.716078466,-2,2,-6,99,2,1,69,1,-6,-6,13
300465,0.556476307,0.443523693,2,1,1,4,6,1,87,2,2,1,39
300467,0.95986732,0.04013268,2,1,1,6,7,1,56,1,1,2,4
300473,0.489251008,0.510748992,-2,6,-6,99,6,2,18,1,-6,-6,20
300475,0.648433144,0.351566856,-2,1,1,6,6,2,23,1,2,1,27
300477,0.792273925,0.207726075,-2,5,1,6,6,1,71,1,1,1,35
300482,0.050638696,0.949361304,1,1,1,2,1,1,19,2,1,4,16
300488,0.187988176,0.812011824,-2,1,1,4,3,1,44,1,2,2,39
300493,0.592715132,0.407284868,-2,1,2,4,4,2,21,2,3,3,16
300495,0.333470535,0.666529465,-2,1,1,99,3,2,67,1,3,2,47
300497,0.122174564,0.877825436,-2,5,1,3,5,1,23,2,3,4,8
300499,0.040517036,0.959482964,-2,6,1,3,1,2,41,2,2,2,48
300500,0.977142738,0.022857262,-2,1,-6,99,7,1,49,1,-6,-6,48
300501,0.982345524,0.017654476,2,1,1,7,7,1,78,2,1,1,47
300503,0.958529635,0.041470365,-2,5,2,6,7,1,74,2,1,1,48
300504,0.344392342,0.655607658,-2,1,-6,4,4,1,40,2,-6,-6,17
300517,0.953092807,0.046907193,3,1,1,6,5,2,53,1,1,1,13
300518,0.886664987,0.113335013,2,1,1,7,6,1,63,1,1,3,47
300522,0.946404588,0.053595412,2,1,1,6,7,1,65,2,1,1,53
300526,0.64627771,0.35372229,2,1,2,4,6,1,64,2,2,1,47
300534,0.965955868,0.034044132,1,1,1,6,7,2,24,1,1,2,40
300540,0.083862487,0.916137513,1,2,1,4,3,1,50,1,3,1,51
300541,0.034369994,0.965630006,3,2,1,5,3,1,23,2,2,2,13
300542,0.090322031,0.909677969,1,1,1,2,1,2,25,1,1,4,47
300543,0.64112647,0.35887353,5,1,1,5,5,1,44,2,2,2,13
300545,0.077597778,0.922402222,1,1,1,1,1,2,76,2,1,1,16
300546,0.944195509,0.055804491,5,1,1,5,5,1,68,1,1,1,20
300547,0.362696988,0.637303012,-2,1,1,4,5,2,21,2,2,1,6
300549,0.63004256,0.36995744,3,1,2,6,2,1,67,2,4,1,37
300552,0.984708884,0.015291116,2,1,1,6,7,1,68,2,1,1,55
300554,0.009389238,0.990610762,1,3,1,1,1,2,35,2,2,4,36
300555,0.675536146,0.324463854,2,1,1,5,6,2,61,1,2,1,4
300558,0.032522705,0.967477295,1,1,1,2,2,2,25,1,1,4,12
300559,0.179811697,0.820188303,2,1,1,3,1,1,67,1,2,1,39
300561,0.973947017,0.026052983,-2,1,-6,6,7,1,69,1,-6,-6,22
300565,0.59119898,0.40880102,2,1,1,4,5,1,68,2,3,1,34
300566,0.332340972,0.667659028,-2,5,1,-8,4,1,32,1,2,4,48
300569,0.873374851,0.126625149,2,1,1,7,5,1,62,1,1,2,12
300571,0.980075224,0.019924776,2,1,1,6,7,1,69,2,2,1,55
300572,0.980392881,0.019607119,2,1,1,6,7,1,85,1,2,1,13
300574,0.382186674,0.617813326,-2,1,-6,99,6,1,88,2,-6,-6,6
300575,0.968668578,0.031331422,1,1,1,5,7,1,26,1,1,4,47
300578,0.919473905,0.080526095,-2,1,2,99,5,2,38,1,3,1,39
300581,0.22216953,0.77783047,1,2,1,99,4,1,50,2,2,3,48
300583,0.092479712,0.907520288,1,1,1,2,3,1,54,2,2,1,16
300586,0.49582373,0.50417627,-2,1,-6,3,4,1,68,2,-6,-6,39
300587,0.047449882,0.952550118,1,5,1,4,1,1,-9,2,2,1,6
300589,0.986797201,0.013202799,2,1,1,6,7,1,45,1,2,1,18
300597,0.875045762,0.124954238,1,1,1,4,5,1,60,2,2,1,47
300600,0.74583533,0.25416467,-2,1,-6,6,6,1,53,2,-6,-6,55
300601,0.962937816,0.037062184,2,1,1,6,7,1,70,2,2,1,13
300603,0.966772954,0.033227046,2,1,-6,7,7,1,75,1,-6,-6,48
300605,0.982006379,0.017993621,2,1,1,7,7,1,57,2,1,1,48
300609,0.24080554,0.75919446,2,6,2,4,5,2,59,2,2,6,33
300610,0.016635183,0.983364817,1,5,1,2,1,2,76,2,2,4,48
300611,0.424224028,0.575775972,-2,5,2,4,6,1,61,1,3,1,35
300612,0.183232592,0.816767408,1,5,1,3,3,1,20,1,2,1,48
300614,0.861120467,0.138879533,2,1,1,5,5,2,62,-9,3,1,48
300617,0.409848001,0.590151999,1,1,1,5,6,1,40,2,3,1,17
300620,0.029000355,0.970999645,1,2,2,4,1,2,24,1,2,2,25
300621,0.984601875,0.015398125,-2,1,-6,6,7,1,47,1,-6,-6,47
300622,0.006736494,0.993263506,1,6,1,2,3,2,24,1,2,3,6
300628,0.731354879,0.268645121,2,1,1,99,6,1,61,1,2,1,17
300629,0.381798124,0.618201876,1,2,2,3,1,1,63,2,4,1,28
300632,0.068270723,0.931729277,-2,3,-6,1,4,1,32,2,-6,-6,34
300633,0.037683741,0.962316259,1,5,1,4,1,2,51,1,2,2,35
300634,0.086171345,0.913828655,-2,6,-6,3,3,2,50,2,-6,-6,40
300636,0.688501422,0.311498578,-2,1,1,5,5,2,30,2,3,1,16
300637,0.502140362,0.497859638,-2,2,2,99,4,2,60,1,3,4,48
300638,0.803553088,0.196446912,-2,1,-6,5,5,2,29,1,-6,-6,20
300641,0.039068423,0.960931577,1,5,1,3,1,1,63,2,1,2,48
300642,0.136738368,0.863261632,-2,6,-6,4,3,2,88,1,-6,-6,26
300644,0.665575648,0.334424352,-2,5,1,99,4,1,63,1,2,1,48
300655,0.022579487,0.977420513,1,1,1,2,1,2,25,2,1,4,48
300656,0.104610452,0.895389548,2,2,1,99,2,1,72,2,2,4,22
300657,0.06839017,0.93160983,1,1,1,2,3,1,60,2,1,2,47
300658,0.928449558,0.071550442,2,1,1,5,7,1,62,1,2,1,8
300660,0.912548268,0.087451732,-9,1,1,6,-8,1,49,2,3,1,20
300663,0.98034662,0.01965338,2,1,1,6,7,1,80,1,1,3,55
300674,0.740185176,0.259814824,1,1,1,99,5,2,84,-9,4,4,33
300675,0.34896041,0.65103959,2,1,2,3,2,2,22,1,2,2,47
300676,0.384902257,0.615097743,1,2,1,99,4,1,26,2,4,1,20
300677,0.535955212,0.464044788,-2,1,1,99,5,1,64,2,2,4,17
300679,0.412694442,0.587305558,-2,5,2,6,2,2,23,2,3,1,48
300680,0.389015199,0.610984801,2,1,2,99,1,1,38,1,3,1,22
300687,0.922449579,0.077550421,2,1,2,99,7,1,77,2,1,1,5
300693,0.283544621,0.716455379,1,2,1,4,2,2,19,2,3,1,45
300694,0.013323286,0.986676714,1,1,1,2,1,1,90,-9,2,2,25
300695,0.152752217,0.847247783,-2,1,1,4,1,2,31,2,2,1,20
300696,0.97917869,0.02082131,2,1,1,7,7,1,59,2,2,1,48
300699,0.627006443,0.372993557,-2,6,1,6,6,2,45,1,2,1,53
300702,0.575715542,0.424284458,1,1,1,4,4,1,66,2,2,1,20
300703,0.977590064,0.022409936,2,1,1,6,7,1,23,1,2,1,40
300704,0.034729604,0.965270396,1,5,1,4,2,2,26,2,2,4,11
300705,0.967537679,0.032462321,2,1,1,6,7,2,59,1,2,1,17
300706,0.042276778,0.957723222,2,1,1,2,3,1,63,2,2,2,48
300709,0.49816146,0.50183854,2,1,2,99,2,1,77,1,4,1,17
300711,0.31434292,0.68565708,-2,2,2,6,2,2,28,1,2,2,48
300717,0.977069962,0.022930038,-2,1,1,6,7,1,27,1,3,1,39
300719,0.079698591,0.920301409,-2,1,-6,4,1,1,-9,2,-6,-6,34
300721,0.481448521,0.518551479,2,5,1,99,6,1,20,2,3,1,17
300723,0.952979204,0.047020796,-2,1,-6,6,7,1,40,2,-6,-6,47
300724,0.192950902,0.807049098,-2,1,1,99,3,2,50,1,2,3,26
300726,0.287509934,0.712490066,2,1,2,4,3,1,71,2,3,1,33
300727,0.08072256,0.91927744,-2,1,1,99,1,2,90,2,2,2,20
300731,0.104047495,0.895952505,1,2,1,99,2,1,34,2,2,2,22
300732,0.020719637,0.979280363,-2,2,1,99,1,1,49,2,2,4,28
300734,0.14766852,0.85233148,-2,1,1,3,3,1,27,1,2,2,26
300735,0.926005659,0.073994341,-2,1,1,4,7,1,48,1,3,1,45
300736,0.548391782,0.451608218,-2,5,1,5,6,2,49,1,2,2,18
300739,0.131069939,0.868930061,1,1,1,3,2,1,24,1,3,2,17
300740,0.093408101,0.906591899,1,5,2,99,3,1,56,1,3,3,8
300743,0.154601251,0.845398749,1,1,1,3,1,1,78,1,4,1,6
300745,0.446315328,0.553684672,2,1,1,5,4,1,24,1,1,2,12
300747,0.902489343,0.097510657,2,5,1,6,7,1,63,2,2,1,25
300749,0.072690322,0.927309678,1,5,1,1,3,1,71,1,1,1,48
300750,0.778916485,0.221083515,3,1,1,4,5,1,44,1,2,1,17
300751,0.189094709,0.810905291,-2,5,2,99,4,2,21,2,4,2,6
300753,0.524302104,0.475697896,-2,1,-6,6,6,1,30,2,-6,-6,5
300757,0.773169672,0.226830328,-2,1,1,4,5,2,21,1,3,3,47
300759,0.277959632,0.722040368,-2,1,1,6,6,1,29,2,3,2,27
300766,0.185502935,0.814497065,1,6,1,4,3,-8,76,1,2,1,47
300768,0.324357118,0.675642882,2,1,1,4,6,1,42,2,2,1,17
300769,0.076296855,0.923703145,1,2,2,4,2,2,24,2,2,4,37
300770,0.792365669,0.207634331,-2,1,2,5,4,2,74,1,2,1,22
300774,0.982127348,0.017872652,-2,1,-6,99,7,2,51,1,-6,-6,53
300775,0.977075872,0.022924128,2,1,1,6,7,1,76,2,1,1,48
300779,0.492154438,0.507845562,-2,2,-6,6,1,2,25,1,-6,-6,37
300780,0.95698906,0.04301094,2,5,1,6,7,1,60,-9,1,1,12
300784,0.329630734,0.670369266,1,1,2,4,6,1,30,2,3,2,20
300785,0.95120802,0.04879198,2,5,1,7,7,1,61,2,1,1,6
300789,0.173457172,0.826542828,1,1,1,5,2,1,48,2,2,1,12
300790,0.088540582,0.911459418,-2,5,-6,3,3,1,39,1,-6,-6,36
300792,0.07126113,0.92873887,1,1,1,4,3,1,50,2,1,1,34
300795,0.048504515,0.951495485,1,1,1,4,2,1,36,2,3,2,25
300796,0.023366572,0.976633428,1,1,1,2,3,2,58,1,1,1,24
300798,0.094204776,0.905795224,1,3,1,3,3,2,30,1,2,2,26
300799,0.085392869,0.914607131,1,1,1,3,3,1,52,2,3,1,27
300807,0.971830764,0.028169236,3,1,1,6,7,2,54,1,2,1,28
300808,0.959225437,0.040774563,2,5,1,7,7,1,70,1,1,1,8
300812,0.84447156,0.15552844,2,1,1,6,5,1,81,2,2,1,17
300813,0.953050952,0.046949048,2,1,1,6,5,1,41,1,2,1,48
300816,0.053653161,0.946346839,1,2,1,3,3,1,23,1,2,4,39
300819,0.025776572,0.974223428,-2,1,-6,3,3,2,45,2,-6,-6,6
300820,0.972805029,0.027194971,2,1,1,6,7,2,46,1,3,1,39
300821,0.080591683,0.919408317,1,5,1,99,1,1,72,2,2,1,48
300827,0.013685416,0.986314584,1,2,1,99,1,1,59,2,2,4,45
300831,0.088672851,0.911327149,-2,5,2,3,1,2,57,2,2,1,48
300833,0.025556822,0.974443178,5,1,1,2,2,2,35,1,1,4,27
300839,0.03206947,0.96793053,3,1,1,4,3,2,40,2,3,4,24
300847,0.274355717,0.725644283,1,1,1,3,3,1,55,2,3,1,16
300850,0.712695694,0.287304306,-2,3,2,6,6,1,79,2,4,1,42
300853,0.111063631,0.888936369,4,3,1,3,4,1,28,1,2,5,6
300855,0.256161144,0.743838856,1,5,1,4,3,1,-9,1,1,1,48
300857,0.295502578,0.704497422,-2,2,-6,5,4,2,56,2,-6,-6,11
300859,0.792856858,0.207143142,-2,1,2,99,4,2,35,1,4,3,40
300860,0.129312811,0.870687189,1,1,1,2,1,1,58,2,3,2,40
300864,0.973450293,0.026549707,2,1,1,7,7,1,60,2,1,1,28
300869,0.983008838,0.016991162,2,1,1,6,7,2,57,2,1,1,47
300872,0.305982228,0.694017772,-2,1,-6,99,2,1,58,2,-6,-6,37
300873,0.984539317,0.015460683,2,1,1,7,7,2,87,1,1,1,48
300874,0.026614585,0.973385415,-2,2,2,1,3,1,47,2,2,2,37
300875,0.247599254,0.752400746,1,1,1,4,3,1,59,2,2,1,33
300881,0.653315439,0.346684561,-2,1,2,99,2,2,84,1,2,1,47
300882,0.894867495,0.105132505,2,1,1,4,5,1,50,1,2,1,16
300883,0.08213674,0.91786326,-2,1,-6,2,1,2,48,1,-6,-6,11
300885,0.229515426,0.770484574,1,6,1,3,2,1,47,2,2,1,16
300887,0.971766831,0.028233169,2,1,1,7,7,1,57,2,1,1,5
300890,0.984397666,0.015602334,2,1,1,6,7,1,24,1,2,1,55
300893,0.842214781,0.157785219,-2,1,-6,4,7,1,45,1,-6,-6,34
300895,0.471321968,0.528678032,-2,1,1,5,6,2,62,2,1,1,36
300898,0.034979672,0.965020328,1,1,1,3,1,1,60,1,2,2,6
300900,0.969040632,0.030959368,2,1,1,6,7,1,66,2,2,1,28
300901,0.068643975,0.931356025,1,1,1,3,2,2,30,1,2,3,8
300906,0.210417004,0.789582996,-2,2,-6,99,2,1,49,2,-6,-6,13
300910,0.893277369,0.106722631,2,1,2,6,5,1,90,1,1,1,27
300911,0.010525717,0.989474283,1,1,1,1,1,1,23,2,1,2,24
300912,0.883458331,0.116541669,-2,1,-6,6,5,1,70,2,-6,-6,40
300916,0.594657829,0.405342171,-2,1,1,99,4,2,28,2,4,3,18
