V200001,p_trump,p_biden,V202110x,V201549x,V202022,V201200,V201231x,V201452,V201507x,V201600,V202406,V201007d
300717,0.449563354,0.550436646,-1,3,1,99,4,2,41,1,2,-2
300731,0.687789411,0.312210589,-9,1,1,7,5,2,42,2,2,-2
300755,0.428750652,0.571249348,2,2,1,99,4,2,37,2,3,-2
300823,0.811145747,0.188854253,2,1,-6,6,7,1,34,1,-6,-2
300847,0.821255902,0.178744098,2,1,1,6,7,1,73,2,2,-2
300861,0.294204613,0.705795387,1,1,1,3,1,2,22,1,2,-2
300892,0.457377637,0.542622363,1,1,1,4,4,2,80,2,3,-2
300908,0.30431279,0.69568721,1,1,1,1,2,2,73,1,1,-2
300915,0.245075953,0.754924047,1,1,1,2,1,2,78,1,1,-2
300946,0.246209979,0.753790021,1,1,1,3,1,2,27,2,2,-2
300960,0.235574012,0.764425988,1,1,2,2,1,2,-9,1,2,-2
301000,0.804275091,0.195724909,2,1,1,6,7,1,80,1,3,-2
301017,0.395639292,0.604360708,-1,1,-6,5,5,1,49,2,-6,-2
301024,0.7825386,0.2174614,-1,3,1,6,7,1,68,1,3,-2
301086,0.548385821,0.451614179,-1,2,2,5,4,1,60,2,3,-2
301093,0.221097948,0.778902052,1,2,1,99,1,1,65,2,2,-2
301130,0.522031391,0.477968609,1,1,1,4,4,2,21,2,4,-2
301147,0.246499342,0.753500658,1,2,1,3,1,1,21,2,3,-2
301192,0.706759221,0.293240779,2,1,2,99,7,1,73,2,4,-2
301215,0.187049385,0.812950615,1,1,1,1,1,2,66,2,1,-2
301253,0.224473233,0.775526767,1,1,1,99,3,2,35,2,1,-2
301284,0.770696599,0.229303401,2,3,1,99,7,2,34,2,2,-2
301307,0.23084999,0.76915001,1,2,1,99,1,1,60,1,1,-2
301321,0.529338878,0.470661122,-1,3,2,4,-9,2,43,1,3,-2
301369,0.780444704,0.219555296,2,1,1,6,7,2,80,2,1,-2
301376,0.27950401,0.72049599,1,1,1,2,1,2,28,2,3,-2
301413,0.241148732,0.758851268,1,1,1,1,1,2,26,1,1,-2
301451,0.851817825,0.148182175,-1,1,1,6,7,2,23,1,2,-2
301475,0.663710793,0.336289207,2,1,1,6,6,1,69,2,2,-2
301581,0.534280897,0.465719103,5,1,1,99,4,1,63,2,4,-2
301604,0.747885774,0.252114226,2,1,1,6,7,2,48,2,3,-2
301611,0.316746614,0.683253386,1,1,1,2,2,2,55,1,2,-2
301659,0.388810862,0.611189138,1,1,1,4,3,2,26,1,2,-2
301666,0.321283751,0.678716249,-1,1,-6,4,2,2,44,2,-6,-2
301680,0.314768084,0.685231916,1,1,1,2,1,2,31,2,4,-2
301697,0.700859158,0.299140842,-1,1,-6,6,7,1,62,2,-6,-2
301710,0.403186969,0.596813031,1,1,1,1,4,2,30,2,2,-2
301741,0.444061535,0.555938465,-1,3,-6,4,3,1,60,1,-6,-2
301758,0.362349626,0.637650374,1,1,1,2,2,2,34,1,4,-2
301802,0.267026131,0.732973869,1,1,1,2,1,1,52,2,2,-2
301833,0.716761197,0.283238803,2,1,1,4,5,2,52,1,4,-2
301840,0.183774145,0.816225855,-1,1,-6,2,1,2,41,2,-6,-2
301895,0.492576017,0.507423983,-1,1,-6,4,2,2,40,1,-6,-2
301918,0.321992021,0.678007979,2,1,1,4,1,1,73,1,2,-2
301987,0.212682653,0.787317347,1,4,1,2,1,2,-9,1,2,-2
302003,0.329935714,0.670064286,1,1,1,3,1,1,80,1,1,-2
302027,0.236025463,0.763974537,-1,1,-6,2,1,2,68,1,-6,-2
302041,0.217620669,0.782379331,1,2,1,99,1,1,36,2,3,-2
302140,0.60783722,0.39216278,1,1,1,4,5,2,59,2,2,-2
302157,0.803669412,0.196330588,-1,1,-6,6,7,1,39,1,-6,-2
302225,0.432419158,0.567580842,1,1,1,3,3,1,60,1,1,-2
302270,0.386699974,0.613300026,-1,2,1,99,4,2,24,2,4,-2
302317,0.230241626,0.769758374,-1,2,1,1,3,2,-9,2,4,-2
302324,0.276695316,0.723304684,1,1,2,99,3,2,80,2,3,-2
302386,0.341419025,0.658580975,1,1,1,99,3,2,33,1,2,-2
302416,0.901520989,0.098479011,2,1,1,7,7,1,62,1,1,-2
302430,0.633245803,0.366754197,-1,1,1,4,4,1,43,1,3,-2
302454,0.425754426,0.574245574,5,-9,1,5,4,2,-9,-9,2,-2
302515,0.774583361,0.225416639,2,1,1,7,7,2,80,2,1,-2
302522,0.478253483,0.521746517,-1,1,1,99,4,2,46,1,4,-2
302539,0.739694415,0.260305585,2,1,1,7,7,1,-9,2,2,-2
302546,0.566632859,0.433367141,-1,1,-6,6,5,-9,68,1,-6,-2
302607,0.75737824,0.24262176,2,1,2,6,5,2,58,1,1,-2
302669,0.210548685,0.789451315,1,5,1,4,1,1,67,1,1,-2
302676,0.30205481,0.69794519,1,1,1,3,2,2,61,1,2,-2
302690,0.559320783,0.440679217,2,6,1,4,4,1,34,2,3,-2
302706,0.287174884,0.712825116,-1,1,1,4,2,1,80,2,3,-2
302799,0.732077916,0.267922084,-1,1,-6,5,7,2,45,1,-6,-2
302812,0.504288443,0.495711557,2,3,1,99,6,2,30,1,3,-2
302829,0.619616873,0.380383127,2,1,1,6,6,1,80,2,3,-2
302850,0.706111356,0.293888644,2,1,1,5,5,1,60,1,2,-2
302867,0.761863507,0.238136493,2,1,1,6,5,1,76,1,2,-2
302898,0.859684884,0.140315116,2,3,2,6,7,1,47,1,2,-2
302904,0.576452744,0.423547256,-1,1,1,6,6,1,50,2,3,-2
302911,0.825279767,0.174720233,-1,1,-6,7,7,2,57,1,-6,-2
302928,0.326684155,0.673315845,-1,1,1,3,2,2,35,1,2,-2
302973,0.362873937,0.637126063,1,3,1,3,4,2,41,2,2,-2
303013,0.247929617,0.752070383,1,1,1,2,1,2,26,2,3,-2
303037,0.577880934,0.422119066,1,1,1,4,5,2,-9,1,1,-2
303051,0.56733246,0.43266754,-1,1,1,4,4,2,44,1,4,-2
303136,0.624445946,0.375554054,2,1,1,99,7,1,80,2,4,-2
303242,0.781322665,0.218677335,2,1,1,6,7,2,77,1,2,-2
303303,0.237151049,0.762848951,1,1,1,2,1,2,65,1,1,-2
303310,0.200373096,0.799626904,1,3,1,4,1,2,79,1,2,-2
303327,0.20334198,0.79665802,1,2,1,99,1,1,70,1,2,-2
303365,0.556836022,0.443163978,-1,2,-6,6,1,2,27,1,-6,-2
303402,0.266421846,0.733578154,1,1,1,2,1,2,29,1,3,-2
303426,0.541611856,0.458388144,2,1,1,3,6,1,73,1,3,-2
303457,0.275285417,0.724714583,1,3,1,99,3,2,20,2,2,-2
303532,0.171526091,0.828473909,1,2,1,1,1,1,44,2,1,-2
303563,0.785640789,0.214359211,2,1,1,99,7,2,72,1,2,-2
303624,0.340135395,0.659864605,1,-9,2,3,1,2,46,1,4,-2
303679,0.834652132,0.165347868,-1,1,-6,6,7,1,54,1,-6,-2
303693,0.511603366,0.488396634,-1,1,1,4,4,2,69,1,3,-2
303747,0.283730068,0.716269932,1,1,1,4,1,1,48,2,2,-2
303792,0.627156771,0.372843229,2,1,1,6,5,1,-9,2,2,-2
303808,0.322758374,0.677241626,1,1,1,4,1,2,40,1,4,-2
303815,0.421425604,0.578574396,1,4,1,4,4,1,78,2,2,-2
303822,0.78240997,0.21759003,2,1,1,6,7,2,49,1,3,-2
303853,0.569509089,0.430490911,1,1,1,4,4,1,77,1,2,-2
303877,0.577275165,0.422724835,2,1,1,2,5,2,65,1,1,-2
303884,0.278714919,0.721285081,1,1,1,4,3,2,58,2,2,-2
303891,0.468035219,0.531964781,1,1,1,4,4,1,58,2,2,-2
303907,0.28412379,0.71587621,1,3,1,1,3,2,31,1,1,-2
303952,0.715733263,0.284266737,1,1,1,4,5,1,35,1,3,-2
303976,0.581584364,0.418415636,2,1,1,6,6,2,56,2,2,-2
304009,0.192138194,0.807861806,1,2,1,2,1,2,58,2,2,-2
304054,0.287120736,0.712879264,1,1,1,3,2,2,22,1,2,-2
304078,0.338861514,0.661138486,1,4,-6,4,4,2,54,2,-6,-2
304092,0.186517221,0.813482779,1,1,1,2,1,2,49,2,2,-2
304153,0.529624029,0.470375971,1,1,1,4,4,1,68,2,1,-2
304184,0.848083618,0.151916382,2,1,1,6,7,1,80,2,1,-2
304214,0.491708685,0.508291315,2,1,1,5,5,-9,-9,1,3,-2
304238,0.62236099,0.37763901,2,1,1,4,5,1,52,2,2,-2
304269,0.284614912,0.715385088,1,1,1,2,1,1,44,1,2,-2
304276,0.840372137,0.159627863,2,1,1,7,7,1,60,1,2,-2
304290,0.745369006,0.254630994,2,1,1,7,7,2,59,2,1,-2
304306,0.589346185,0.410653815,2,1,1,5,5,1,62,2,2,-2
304382,0.278395966,0.721604034,1,1,1,2,3,2,70,2,2,-2
304412,0.399899619,0.600100381,1,6,1,4,3,1,67,2,2,-2
304436,0.291156836,0.708843164,1,2,1,4,1,1,40,1,4,-2
304504,0.193350463,0.806649537,1,1,1,1,3,2,43,2,1,-2
304559,0.564877103,0.435122897,2,1,1,4,4,1,74,1,1,-2
304603,0.647661476,0.352338524,2,5,1,6,7,1,56,2,3,-2
304658,0.295141236,0.704858764,-1,3,1,4,1,2,35,1,4,-2
304665,0.224110562,0.775889438,-1,1,-7,2,2,2,27,2,-7,-2
304719,0.273593359,0.726406641,1,1,2,2,2,1,24,2,2,-2
304740,0.296037999,0.703962001,4,2,1,3,3,2,32,2,3,-2
304757,0.305939284,0.694060716,2,1,1,99,2,2,58,1,2,-2
304795,0.653700333,0.346299667,-1,1,1,5,6,2,32,1,2,-2
304801,0.622792308,0.377207692,-1,3,-6,6,6,2,33,2,-6,-2
304825,0.698680763,0.301319237,2,1,1,4,7,2,-9,2,1,-2
304832,0.380859166,0.619140834,-1,-9,1,-9,-9,-9,-9,-9,2,-2
304863,0.663107698,0.336892302,-1,1,1,4,5,1,80,1,3,-2
304887,0.201912781,0.798087219,1,2,1,1,1,1,71,2,1,-2
304900,0.519428168,0.480571832,1,1,1,4,4,2,69,1,2,-2
304931,0.417577847,0.582422153,2,1,1,4,6,1,-9,2,2,-2
304979,0.253157353,0.746842647,-1,4,1,2,2,2,26,1,3,-2
304986,0.283929677,0.716070323,1,1,1,2,3,2,63,1,1,-2
305040,0.267513121,0.732486879,1,2,1,4,1,1,77,1,2,-2
305057,0.520392992,0.479607008,-1,1,1,3,5,2,56,2,4,-2
305071,0.32622239,0.67377761,-1,-9,1,99,4,2,-9,2,3,-2
305095,0.68369777,0.31630223,2,1,1,5,7,2,47,2,2,-2
305149,0.198205327,0.801794673,1,3,1,2,2,2,45,2,1,-2
305187,0.792281047,0.207718953,-1,6,1,7,7,2,36,2,2,-2
305217,0.337063399,0.662936601,1,1,1,99,2,2,80,1,4,-2
305231,0.185378692,0.814621308,1,4,1,4,1,2,19,2,3,-2
305293,0.231914419,0.768085581,1,1,1,4,1,2,-9,-9,3,-2
305330,0.716907931,0.283092069,2,1,1,6,7,2,44,2,4,-2
305347,0.726009219,0.273990781,2,1,1,6,7,2,-9,1,2,-2
305378,0.261641023,0.738358977,1,1,1,2,1,2,34,1,1,-2
305385,0.310292756,0.689707244,1,1,1,1,3,2,30,1,1,-2
305446,0.477450036,0.522549964,2,1,1,5,4,2,71,2,1,-2
305460,0.395068414,0.604931586,1,1,1,3,3,1,69,1,2,-2
305491,0.342319709,0.657680291,1,1,1,3,3,2,69,1,1,-2
305521,0.382098115,0.617901885,-1,1,2,5,2,1,34,2,4,-2
305545,0.516276836,0.483723164,-1,4,2,99,6,1,46,2,2,-2
305613,0.61502051,0.38497949,2,1,1,5,5,2,64,1,4,-2
305637,0.344828915,0.655171085,-1,3,-6,3,3,1,55,2,-6,-2
305644,0.609351403,0.390648597,1,3,1,5,5,2,63,1,2,-2
305651,0.206264355,0.793735645,1,1,1,2,1,2,71,2,1,-2
305668,0.899660945,0.100339055,2,1,1,6,7,1,19,1,2,-2
305712,0.891885908,0.108114092,2,1,1,6,7,1,47,1,2,-2
305729,0.384474878,0.615525122,1,1,1,3,3,1,48,1,2,-2
305767,0.286782367,0.713217633,1,1,1,2,2,2,34,1,2,-2
305774,0.565381678,0.434618322,3,2,1,4,4,1,49,1,1,-2
305798,0.332341826,0.667658174,-1,1,-6,1,6,1,66,2,-6,-2
305804,0.287481878,0.712518122,1,3,1,4,2,1,40,1,3,-2
305897,0.52613293,0.47386707,-1,1,-6,6,5,1,53,2,-6,-2
305927,0.256799095,0.743200905,1,1,1,99,2,2,50,2,3,-2
305934,0.667966364,0.332033636,2,1,1,6,6,2,35,1,2,-2
305972,0.793797618,0.206202382,2,1,1,7,5,1,55,2,1,-2
305996,0.236344318,0.763655682,1,2,1,3,3,1,-9,2,3,-2
306067,0.211033209,0.788966791,2,4,1,99,2,1,59,2,3,-2
306142,0.561928224,0.438071776,-1,1,1,99,4,2,34,1,2,-2
306159,0.588518034,0.411481966,2,1,1,5,5,1,49,2,4,-2
306203,0.236983962,0.763016038,1,2,1,2,1,1,64,2,2,-2
306210,0.515820632,0.484179368,-1,6,-6,99,4,2,29,1,-6,-2
306272,0.244555672,0.755444328,1,2,1,99,2,1,53,2,2,-2
306302,0.822915423,0.177084577,2,1,1,4,7,1,56,1,2,-2
306357,0.522106541,0.477893459,-1,5,1,5,4,1,57,1,1,-2
306395,0.365190111,0.634809889,-1,1,1,2,3,1,56,1,1,-2
306418,0.301881943,0.698118057,1,1,1,4,1,1,65,1,1,-2
306456,0.536378906,0.463621094,5,1,2,4,5,2,66,2,3,-2
306548,0.574391332,0.425608668,1,1,1,4,4,2,68,1,2,-2
306562,0.176203489,0.823796511,1,3,1,4,1,1,60,2,2,-2
306586,0.28438379,0.71561621,1,4,1,3,3,2,60,1,2,-2
306647,0.394701154,0.605298846,2,1,1,4,2,1,59,1,2,-2
306685,0.37395496,0.62604504,1,3,-6,3,3,2,34,2,-6,-2
306777,0.186186097,0.813813903,1,4,1,1,1,1,33,1,2,-2
306791,0.752474663,0.247525337,2,1,1,2,7,1,55,1,2,-2
306852,0.218354993,0.781645007,1,-9,1,3,2,1,-9,2,2,-2
306869,0.739091512,0.260908488,2,1,2,6,7,1,67,2,3,-2
306883,0.584254363,0.415745637,-9,1,1,4,4,1,42,1,2,-2
306975,0.601630394,0.398369606,2,4,1,6,6,1,59,1,2,-2
306982,0.224310704,0.775689296,1,1,1,2,1,1,73,1,2,-2
306999,0.481033997,0.518966003,-1,-9,1,4,6,1,-9,1,2,-2
307015,0.552735484,0.447264516,3,1,1,5,5,2,54,2,3,-2
307039,0.358917645,0.641082355,1,1,1,4,2,1,66,1,1,-2
307114,0.247164487,0.752835513,1,2,1,4,3,2,-9,1,1,-2
307121,0.198522379,0.801477621,1,1,1,2,1,2,56,2,2,-2
307169,0.2830294,0.7169706,1,1,1,3,2,1,75,2,3,-2
307176,0.533350979,0.466649021,1,1,1,5,5,1,78,2,3,-2
307190,0.245009359,0.754990641,1,5,2,99,1,1,65,2,4,-2
307206,0.234815813,0.765184187,1,1,1,3,1,1,44,2,1,-2
307213,0.31810623,0.68189377,2,1,1,5,2,1,64,1,3,-2
307237,0.176733446,0.823266554,1,1,1,1,1,2,67,2,1,-2
307251,0.266265006,0.733734994,1,-9,1,99,2,-9,48,1,3,-2
307268,0.910253634,0.089746366,2,1,1,6,7,1,68,1,1,-2
307275,0.717867777,0.282132223,2,1,1,6,7,1,-9,2,2,-2
307282,0.302616683,0.697383317,-1,2,-7,1,1,1,54,1,-7,-2
307305,0.22243074,0.77756926,1,1,1,3,1,1,80,2,2,-2
307336,0.232077878,0.767922122,1,4,1,3,2,1,27,2,2,-2
307404,0.259592573,0.740407427,1,1,1,2,1,2,55,1,2,-2
307435,0.43963739,0.56036261,1,1,1,4,3,1,27,1,3,-2
307466,0.783671643,0.216328357,2,1,1,6,7,2,65,2,2,-2
307510,0.648689887,0.351310113,2,1,1,99,5,1,67,1,3,-2
307534,0.50038873,0.49961127,1,1,1,99,6,2,51,2,2,-2
307589,0.835144966,0.164855034,-1,1,-6,6,7,1,44,1,-6,-2
307602,0.200131831,0.799868169,1,1,1,99,1,2,45,2,3,-2
307626,0.598051948,0.401948052,2,1,1,4,5,2,29,2,3,-2
307640,0.37160568,0.62839432,1,-9,1,3,3,2,54,1,3,-2
307718,0.802724507,0.197275493,2,1,1,99,7,1,80,1,2,-2
307725,0.696930331,0.303069669,2,1,1,5,7,2,72,2,2,-2
307800,0.270604639,0.729395361,1,3,1,2,3,2,49,1,2,-2
307817,0.677380621,0.322619379,2,1,1,6,6,2,31,1,3,-2
307824,0.876258184,0.123741816,1,2,1,4,7,1,66,1,1,-2
307831,0.858006796,0.141993204,1,1,1,6,7,2,80,1,1,-2
307923,0.276258731,0.723741269,1,2,1,4,1,1,47,1,2,-2
307930,0.797250013,0.202749987,2,3,1,7,5,1,60,1,1,-2
307947,0.8915507,0.1084493,2,2,1,6,7,1,80,1,1,-2
307978,0.245677582,0.754322418,1,4,1,5,2,1,80,2,2,-2
308001,0.490421801,0.509578199,-1,4,-6,4,2,1,68,1,-6,-2
308018,0.756303189,0.243696811,-1,1,1,4,7,1,60,1,3,-2
308049,0.773586032,0.226413968,2,3,1,7,5,1,51,1,1,-2
308070,0.830936745,0.169063255,2,1,1,6,5,1,76,1,1,-2
308087,0.377248259,0.622751741,1,3,2,4,3,2,28,1,2,-2
308094,0.240919811,0.759080189,-1,1,-7,2,1,2,45,2,-7,-2
308124,0.633403271,0.366596729,-1,1,-6,7,7,1,23,2,-6,-2
308131,0.190238335,0.809761665,1,1,1,2,1,1,69,2,1,-2
308162,0.924399551,0.075600449,2,1,1,6,7,1,76,1,1,-2
308209,0.699276837,0.300723163,2,1,1,6,6,2,61,1,1,-2
308216,0.678172833,0.321827167,2,1,1,6,7,2,33,2,4,-2
308285,0.201071805,0.798928195,1,1,1,2,1,2,59,2,1,-2
308308,0.627131696,0.372868304,2,1,1,6,6,1,75,2,1,-2
308360,0.563090993,0.436909007,-1,1,-6,99,7,2,41,2,-6,-2
308391,0.227702326,0.772297674,1,3,1,3,1,1,35,2,3,-2
308407,0.220751949,0.779248051,1,2,1,99,1,2,39,2,2,-2
308414,0.55845366,0.44154634,2,1,1,6,6,1,48,2,2,-2
308476,0.406890079,0.593109921,-1,1,-6,4,2,2,72,1,-6,-2
308513,0.826393927,0.173606073,2,1,1,4,7,1,74,1,2,-2
308520,0.293401025,0.706598975,1,1,1,2,3,2,71,1,2,-2
308537,0.515943941,0.484056059,1,-9,1,5,6,1,76,1,3,-2
308643,0.604057743,0.395942257,-1,1,2,-9,5,2,28,2,4,-2
308667,0.612135775,0.387864225,1,1,1,5,5,2,26,2,3,-2
308704,0.193610971,0.806389029,1,1,1,2,1,2,68,2,1,-2
308711,0.249034119,0.750965881,1,1,1,2,1,2,46,1,2,-2
308735,0.272202643,0.727797357,1,2,1,3,3,2,47,1,3,-2
308742,0.475606176,0.524393824,-1,3,1,99,4,2,28,1,4,-2
308773,0.702822603,0.297177397,3,3,1,6,4,1,23,2,1,-2
308780,0.232634614,0.767365386,1,1,1,3,1,2,65,2,1,-2
308797,0.276554656,0.723445344,1,1,1,2,1,2,40,2,4,-2
308810,0.296672236,0.703327764,1,1,1,2,2,2,73,1,1,-2
308827,0.120812966,0.879187034,1,3,1,99,1,1,41,2,1,-2
308865,0.266415691,0.733584309,1,2,1,3,2,2,52,1,2,-2
308889,0.243121036,0.756878964,1,4,1,3,2,2,47,1,2,-2
308896,0.517158095,0.482841905,-1,1,-6,4,4,1,26,1,-6,-2
308926,0.349953239,0.650046761,1,1,1,4,1,1,80,1,1,-2
308933,0.240238268,0.759761732,-1,1,-6,3,1,2,80,2,-6,-2
308957,0.223761158,0.776238842,1,2,1,3,1,1,61,-9,2,-2
308971,0.500221616,0.499778384,-1,1,-7,5,5,2,27,1,-7,-2
308988,0.629983183,0.370016817,1,1,1,4,5,1,59,2,2,-2
309004,0.194499382,0.805500618,1,1,1,1,1,2,44,2,2,-2
309011,0.380544254,0.619455746,-1,4,2,4,3,2,26,1,4,-2
309028,0.257886075,0.742113925,1,1,1,3,1,1,37,2,2,-2
309080,0.848120608,0.151879392,2,1,1,6,7,2,55,1,2,-2
309097,0.566343246,0.433656754,2,1,1,99,5,2,80,1,2,-2
309134,0.300869736,0.699130264,-1,3,-6,99,2,2,19,2,-6,-2
309141,0.624442301,0.375557699,-1,6,2,4,4,1,70,1,3,-2
309158,0.523305023,0.476694977,-1,1,1,4,6,1,27,2,3,-2
309189,0.213877883,0.786122117,1,3,1,99,1,1,-9,2,2,-2
309202,0.690871784,0.309128216,2,1,1,7,6,1,57,1,3,-2
309318,0.249570891,0.750429109,1,2,1,4,1,2,66,1,2,-2
309325,0.188375704,0.811624296,1,3,1,1,1,2,60,1,1,-2
309349,0.388911541,0.611088459,1,1,1,4,2,2,47,1,4,-2
309370,0.320850543,0.679149457,1,1,1,4,3,2,77,1,2,-2
309400,0.181278107,0.818721893,1,2,1,2,1,1,49,2,1,-2
309431,0.323872439,0.676127561,2,1,1,4,2,2,54,2,-5,-2
309486,0.539681127,0.460318873,2,1,1,99,6,1,64,2,2,-2
309516,0.665062008,0.334937992,-1,1,-6,6,5,2,28,1,-6,-2
309608,0.638998208,0.361001792,2,1,1,5,5,1,61,2,1,-2
309653,0.436064345,0.563935655,1,6,2,4,2,1,54,2,3,-2
309660,0.725304415,0.274695585,1,1,1,6,7,2,25,2,3,-2
309677,0.325311492,0.674688508,1,1,2,4,2,2,29,2,3,-2
309684,0.297331514,0.702668486,1,1,1,1,3,1,24,2,1,-2
309769,0.241314188,0.758685812,-1,1,-6,2,1,1,77,1,-6,-2
309851,0.191163551,0.808836449,1,1,1,2,1,2,30,2,2,-2
309868,0.676809601,0.323190399,-1,3,-6,5,7,1,40,2,-6,-2
309882,0.214983566,0.785016434,1,1,1,99,1,2,68,2,2,-2
309899,0.289339202,0.710660798,4,1,1,1,3,1,65,1,1,-2
309943,0.884919983,0.115080017,-1,1,1,6,7,2,33,1,1,-2
309967,0.580805002,0.419194998,-1,1,1,5,6,1,39,1,3,-2
310028,0.208140063,0.791859937,-1,4,1,2,2,2,32,1,2,-2
310066,0.731519956,0.268480044,2,1,1,3,7,1,60,2,2,-2
310097,0.407011458,0.592988542,1,1,1,4,3,1,37,1,2,-2
310103,0.80673441,0.19326559,2,1,1,6,7,1,71,2,2,-2
310110,0.634693063,0.365306937,2,1,2,6,6,2,63,1,2,-2
310196,0.530995821,0.469004179,5,3,1,5,5,1,41,2,3,-2
310240,0.232120335,0.767879665,-1,2,1,4,1,2,40,2,2,-2
310271,0.226898245,0.773101755,1,1,1,3,1,2,80,1,2,-2
310288,0.750792015,0.249207985,-1,6,-6,6,4,2,49,1,-6,-2
310295,0.450638708,0.549361292,2,1,2,99,4,1,69,2,3,-2
310318,0.556872651,0.443127349,-1,1,-6,3,4,2,34,1,-6,-2
310332,0.275215168,0.724784832,-1,1,-6,3,1,1,54,2,-6,-2
310394,0.209799811,0.790200189,1,1,1,2,1,2,80,2,1,-2
310417,0.490151738,0.509848262,-1,2,1,4,4,1,-9,1,3,-2
310424,0.166277306,0.833722694,-1,2,1,99,1,1,64,2,3,-2
310462,0.583931639,0.416068361,5,4,2,5,5,2,50,1,1,-2
310486,0.769486803,0.230513197,2,1,1,6,5,2,49,1,1,-2
310516,0.724469236,0.275530764,2,1,1,6,5,1,62,2,2,-2
310547,0.300863231,0.699136769,1,1,1,1,3,2,26,2,2,-2
310554,0.486195372,0.513804628,2,1,1,5,5,1,28,2,-5,-2
310592,0.352798406,0.647201594,1,1,1,3,3,2,39,1,1,-2
310639,0.251315226,0.748684774,1,4,1,3,2,2,49,1,2,-2
310646,0.571647401,0.428352599,1,1,1,4,6,2,66,1,2,-2
310677,0.926548731,0.073451269,2,1,1,6,7,1,56,1,1,-2
310684,0.624934137,0.375065863,1,1,1,4,6,1,73,1,3,-2
310776,0.39591445,0.60408555,1,1,1,3,3,2,20,1,2,-2
310806,0.179370903,0.820629097,1,2,1,3,1,1,73,2,1,-2
310813,0.223751437,0.776248563,2,1,1,1,1,2,49,1,1,-2
310868,0.893665814,0.106334186,2,1,1,6,7,1,69,1,1,-2
310899,0.239702197,0.760297803,1,1,1,2,2,2,50,2,3,-2
310936,0.19197329,0.80802671,1,3,1,3,1,1,54,2,2,-2
310950,0.20561858,0.79438142,1,2,1,99,1,2,54,1,2,-2
311007,0.22079782,0.77920218,1,2,1,99,1,2,65,2,4,-2
311014,0.312126198,0.687873802,1,6,1,3,3,1,80,2,2,-2
311052,0.290753644,0.709246356,1,6,1,2,3,2,23,2,2,-2
311083,0.509164795,0.490835205,-1,1,1,4,4,2,33,2,2,-2
311175,0.264427588,0.735572412,-1,4,-6,4,2,2,-9,1,-6,-2
311199,0.195804977,0.804195023,1,4,1,2,2,2,43,2,3,-2
311212,0.34740572,0.65259428,-1,2,1,1,4,1,49,2,1,-2
311229,0.360444323,0.639555677,1,1,1,4,3,1,25,2,2,-2
311250,0.283042331,0.716957669,1,1,1,3,2,2,30,2,2,-2
311304,0.319491786,0.680508214,2,1,1,99,2,1,51,1,3,-2
311311,0.560526471,0.439473529,2,1,1,4,6,1,75,2,2,-2
311335,0.492692906,0.507307094,2,1,1,5,4,1,74,2,2,-2
311359,0.752205613,0.247794387,2,1,1,6,7,1,64,2,3,-2
311373,0.598708331,0.401291669,2,1,1,6,6,1,33,2,2,-2
311397,0.515815717,0.484184283,-1,1,-6,3,4,2,37,1,-6,-2
311403,0.609879273,0.390120727,2,1,1,6,6,2,73,2,2,-2
311427,0.328426626,0.671573374,-1,1,-6,4,3,2,64,1,-6,-2
311434,0.527207608,0.472792392,-1,1,-6,99,6,2,50,2,-6,-2
311458,0.638215822,0.361784178,-1,1,-6,4,6,1,53,1,-6,-2
