caseid,p_romney,p_obama,presvote2012_x,dem_raceeth_x,discuss_disc,libcpre_self,pid_x,relig_church,dem_age_r_x,gender_respondent_x,paprofile_interestpolit,patriot_flag,sample_stfips
30,0.06023738,0.93976262,1,1,1,5,3,2,53,1,-1,2,6
31,0.03146983,0.96853017,1,2,1,5,3,1,52,2,-1,1,6
32,0.053226583,0.946773417,-2,3,2,4,3,1,36,2,-1,4,6
33,0.028191275,0.971808725,1,2,1,-2,3,2,74,2,-1,3,6
34,0.118397738,0.881602262,1,5,2,-2,3,2,-2,2,-1,5,6
35,0.153238969,0.846761031,-2,5,1,-2,2,1,54,1,-1,2,6
36,0.049945263,0.950054737,5,5,2,1,4,2,45,2,-1,4,6
37,0.061818164,0.938181836,1,5,2,-2,3,2,30,2,-1,5,6
38,0.099909194,0.900090806,-2,5,2,-2,3,1,18,2,-1,4,6
39,0.097996882,0.902003118,1,5,1,-2,2,2,39,2,-1,4,6
40,0.134230301,0.865769699,-2,5,1,3,4,1,21,2,-1,2,6
41,0.780624282,0.219375718,2,6,1,5,7,1,43,2,-1,1,6
42,0.092175149,0.907824851,1,1,1,3,1,1,51,2,-1,1,6
43,0.079743636,0.920256364,1,5,1,4,2,1,32,2,-1,2,6
44,0.793533155,0.206466845,2,1,1,6,5,1,64,2,-1,1,6
45,0.445643436,0.554356564,2,1,1,6,6,1,32,2,-1,1,6
46,0.560165644,0.439834356,2,6,1,7,6,1,49,2,-1,1,6
47,0.834207767,0.165792233,2,1,1,5,7,1,30,2,-1,1,6
48,0.833624631,0.166375369,2,1,1,6,5,2,62,1,-1,1,6
49,0.175557813,0.824442187,-2,1,1,5,6,1,30,2,-1,2,6
50,0.89934955,0.10065045,2,6,1,6,7,1,61,2,-1,1,6
51,0.150270972,0.849729028,1,5,1,5,2,1,40,1,-1,2,6
52,0.376629008,0.623370992,-2,1,2,6,6,1,42,1,-1,2,6
53,0.117203867,0.882796133,5,5,1,1,5,2,33,2,-1,4,6
54,0.238870345,0.761129655,2,1,2,-2,4,2,30,2,-1,1,6
55,0.222915867,0.777084133,-2,6,2,4,4,2,48,1,-1,1,6
56,0.100549313,0.899450687,-2,5,2,2,1,1,34,1,-1,1,6
57,0.642885114,0.357114886,-2,5,1,5,7,1,50,2,-1,2,6
58,0.108895572,0.891104428,-2,5,1,-2,2,1,51,2,-1,2,6
59,0.136305151,0.863694849,1,1,1,4,2,2,65,1,-1,2,6
60,0.05283768,0.94716232,1,1,1,2,1,2,77,1,-1,1,6
61,0.892645097,0.107354903,2,1,1,7,7,2,39,1,-1,1,6
62,0.020373603,0.979626397,1,6,1,1,1,2,72,1,-1,2,6
63,0.040089131,0.959910869,1,1,1,1,1,2,49,2,-1,1,6
64,0.806131401,0.193868599,2,1,1,6,7,1,49,2,-1,2,6
65,0.365531776,0.634468224,-2,1,2,4,5,2,24,1,-1,2,6
66,0.112099957,0.887900043,-2,6,1,-2,4,2,19,2,-1,5,6
67,0.033009771,0.966990229,1,1,1,2,1,2,80,2,-1,2,6
68,0.09474131,0.90525869,-2,5,1,3,1,1,22,2,-1,1,6
69,0.188617102,0.811382898,-2,5,2,-8,2,2,19,1,-1,3,6
70,0.268843535,0.731156465,-9,3,1,6,2,1,55,2,-1,1,6
71,0.145341469,0.854658531,1,5,1,4,3,1,30,1,-1,1,6
72,0.096451757,0.903548243,1,5,1,4,1,1,49,1,-1,2,6
73,0.194834176,0.805165824,2,1,1,4,4,2,23,1,-1,2,6
74,0.064828057,0.935171943,-2,5,1,-2,1,2,71,2,-1,1,6
75,0.25049449,0.74950551,2,1,1,5,6,1,43,2,-1,3,6
76,0.143939214,0.856060786,2,5,1,4,2,-9,-2,2,-1,3,6
77,0.625757954,0.374242046,2,1,1,5,5,1,53,2,-1,1,6
78,0.323696417,0.676303583,-2,1,2,-2,4,1,29,2,-1,1,6
79,0.860066224,0.139933776,2,1,2,-2,7,2,40,1,-1,3,9
80,0.154470026,0.845529974,-2,1,1,3,2,2,18,1,-1,3,9
81,0.085689363,0.914310637,1,5,1,2,1,2,57,1,-1,3,9
82,0.389980219,0.610019781,-2,1,-6,-2,4,1,52,1,-1,-6,9
83,0.073425615,0.926574385,1,1,1,2,1,2,63,1,-1,1,9
84,0.300490224,0.699509776,-2,4,2,4,4,2,-2,1,-1,1,9
85,0.34961646,0.65038354,2,1,1,2,7,1,-2,2,-1,1,9
86,0.195364896,0.804635104,1,1,1,3,2,1,-2,1,-1,3,9
87,0.063684319,0.936315681,-2,2,2,-2,2,1,22,2,-1,4,10
88,0.581245074,0.418754926,-2,1,1,6,5,2,28,2,-1,1,10
89,0.257197072,0.742802928,5,6,1,5,6,2,26,1,-1,2,10
90,0.320717269,0.679282731,2,6,1,4,5,2,56,1,-1,2,10
91,0.898829938,0.101170062,2,1,1,7,7,2,56,1,-1,1,10
92,0.827008112,0.172991888,2,1,1,6,7,1,84,2,-1,2,10
93,0.052959606,0.947040394,-2,1,-6,-2,3,2,51,2,-1,-6,10
94,0.394146223,0.605853777,-2,1,1,5,2,1,34,1,-1,3,12
95,0.34650256,0.65349744,-2,2,1,5,5,2,28,1,-1,2,12
96,0.127209463,0.872790537,-2,2,2,-2,1,1,48,2,-1,1,12
97,0.351572561,0.648427439,2,1,1,4,6,1,49,2,-1,2,12
98,0.939637013,0.060362987,2,1,1,-2,7,1,43,2,-1,1,12
99,0.164599417,0.835400583,-2,6,2,-2,3,2,52,1,-1,5,12
100,0.540581356,0.459418644,1,1,1,4,4,1,70,2,-1,1,12
101,0.66315499,0.33684501,2,1,1,4,6,1,43,1,-1,1,12
102,0.959638518,0.040361482,2,1,1,6,7,1,50,2,-1,1,12
103,0.745774391,0.254225609,2,1,1,5,7,2,35,2,-1,2,12
104,0.829555419,0.170444581,2,1,1,-2,6,1,28,1,-1,1,12
105,0.97037551,0.02962449,2,1,1,7,7,1,61,1,-1,1,12
106,0.111796692,0.888203308,2,1,1,2,3,2,56,1,-1,3,12
107,0.04534629,0.95465371,1,2,1,-2,1,1,31,2,-1,1,12
108,0.259078269,0.740921731,1,2,1,4,2,1,49,1,-1,1,12
109,0.020563589,0.979436411,-2,2,-6,-2,1,1,30,2,-1,-6,12
110,0.04343608,0.95656392,1,2,1,-2,1,1,33,2,-1,1,12
111,0.045191724,0.954808276,1,2,1,-2,1,1,42,2,-1,1,12
112,0.054868497,0.945131503,1,2,1,-2,1,1,71,2,-1,1,12
113,0.099498618,0.900501382,1,2,1,3,1,1,34,2,-1,1,12
114,0.923567981,0.076432019,2,5,1,6,5,1,70,1,-1,1,12
115,0.298701573,0.701298427,1,1,1,3,2,1,33,2,-1,1,12
116,0.022296035,0.977703965,-2,2,-6,-2,1,1,74,2,-1,-6,12
117,0.360662615,0.639337385,1,1,2,4,2,1,66,2,-1,2,12
118,0.492577581,0.507422419,-2,1,1,7,1,2,50,1,-1,1,12
119,0.48666471,0.51333529,-2,1,1,-2,2,1,28,1,-1,1,12
120,0.869753882,0.130246118,2,1,2,6,5,1,65,2,-1,1,12
121,0.17067692,0.82932308,1,1,1,-2,1,1,78,1,-1,1,12
122,0.262647884,0.737352116,-2,1,1,-2,3,2,75,1,-1,1,12
123,0.052111307,0.947888693,-2,5,-6,2,1,1,73,1,-1,-6,12
124,0.212237413,0.787762587,2,1,2,2,2,1,62,1,-1,2,12
125,0.930098636,0.069901364,-9,1,1,7,7,2,71,1,-1,2,12
126,0.275051255,0.724948745,-2,1,-6,-2,2,2,84,1,-1,-6,12
127,0.153879968,0.846120032,-2,1,2,5,3,1,52,2,-1,2,12
128,0.226061464,0.773938536,1,3,1,4,1,2,52,2,-1,1,12
129,0.370899598,0.629100402,-2,5,2,-2,4,1,24,1,-1,2,12
130,0.592254604,0.407745396,2,1,1,3,5,2,34,2,-1,1,12
131,0.177434789,0.822565211,1,1,1,2,1,1,78,1,-1,3,12
132,0.157254327,0.842745673,1,1,1,3,3,2,41,2,-1,1,12
133,0.191723208,0.808276792,1,5,1,3,1,1,47,2,-1,1,12
134,0.255403421,0.744596579,-2,3,1,4,4,1,20,2,-1,3,12
135,0.20302081,0.79697919,1,1,1,4,3,1,41,2,-1,1,12
136,0.453979315,0.546020685,2,1,1,-2,4,1,36,2,-1,1,12
137,0.910668232,0.089331768,2,1,1,7,5,1,84,2,-1,1,12
138,0.038539332,0.961460668,1,2,1,-2,1,1,27,2,-1,3,12
139,0.042715984,0.957284016,1,2,1,2,3,1,41,2,-1,1,12
140,0.866240581,0.133759419,2,6,1,5,5,1,42,1,-1,1,13
141,0.671931961,0.328068039,2,1,1,4,5,2,33,1,-1,2,13
142,0.314758181,0.685241819,1,1,1,4,1,2,56,1,-1,2,13
143,0.828122743,0.171877257,-2,1,1,5,5,2,35,1,-1,1,13
144,0.5792474,0.4207526,1,1,1,4,6,1,36,2,-1,1,13
145,0.558136729,0.441863271,2,1,1,3,6,1,41,1,-1,4,13
146,0.204027824,0.795972176,1,2,1,5,1,1,56,2,-1,1,13
147,0.701591697,0.298408303,2,5,1,-2,6,1,53,1,-1,2,13
148,0.015992931,0.984007069,1,2,1,2,1,2,25,2,-1,2,17
149,0.124388216,0.875611784,1,6,1,4,2,1,32,2,-1,3,17
150,0.022992974,0.977007026,1,2,1,2,1,1,37,2,-1,3,17
151,0.184638586,0.815361414,-2,5,1,4,2,2,45,1,-1,2,17
152,0.674616593,0.325383407,2,1,2,4,7,1,34,2,-1,1,17
153,0.919037504,0.080962496,2,1,1,6,7,1,33,2,-1,1,17
154,0.268952987,0.731047013,-2,1,2,4,4,2,55,2,-1,1,17
155,0.433815327,0.566184673,1,1,2,5,4,1,62,1,-1,4,17
156,0.240599906,0.759400094,-9,1,1,6,2,1,64,2,-1,2,17
157,0.038817925,0.961182075,1,1,1,1,1,1,54,2,-1,2,17
158,0.152269612,0.847730388,-2,1,-6,-2,4,2,28,2,-1,-6,17
159,0.335677437,0.664322563,1,1,2,4,2,2,71,1,-1,1,17
160,0.071312452,0.928687548,-2,1,2,4,3,2,41,2,-1,2,17
161,0.185837959,0.814162041,-2,1,2,-2,4,2,31,2,-1,2,17
162,0.279468368,0.720531632,2,1,1,4,2,1,72,2,-1,1,17
163,0.517036876,0.482963124,-9,1,2,4,-2,1,28,1,-1,1,17
164,0.338804914,0.661195086,-2,5,1,6,2,1,46,2,-1,1,17
165,0.108161135,0.891838865,-2,1,2,4,3,1,32,1,-1,2,17
166,0.830489821,0.169510179,2,1,1,6,5,1,69,2,-1,1,17
167,0.240240754,0.759759246,-2,6,1,-2,4,2,24,2,-1,1,17
168,0.208843538,0.791156462,-2,1,2,3,6,2,37,1,-1,2,17
169,0.046607399,0.953392601,1,1,1,2,1,1,42,1,-1,2,17
170,0.156168694,0.843831306,-2,6,2,-2,3,2,20,1,-1,4,17
171,0.930108832,0.069891168,2,1,2,6,7,1,76,1,-1,1,17
172,0.64954544,0.35045456,1,1,1,4,5,1,-2,1,-1,2,18
173,0.954282684,0.045717316,-2,1,1,6,7,1,73,2,-1,1,18
174,0.80495612,0.19504388,2,1,1,5,6,1,58,1,-1,1,18
175,0.52738381,0.47261619,2,1,1,5,6,1,56,2,-1,2,18
176,0.885869449,0.114130551,-2,1,2,-2,5,1,64,1,-1,1,18
177,0.14030767,0.85969233,1,1,1,2,1,2,23,1,-1,2,18
178,0.171635342,0.828364658,2,1,1,3,3,2,19,2,-1,4,18
179,0.760972549,0.239027451,1,1,1,4,5,1,51,2,-1,1,18
180,0.301707026,0.698292974,1,1,1,3,3,1,82,1,-1,2,18
181,0.964370023,0.035629977,1,1,1,6,7,1,58,1,-1,1,18
182,0.70135634,0.29864366,-2,6,2,-2,6,1,18,1,-1,3,18
183,0.108821784,0.891178216,-2,1,-6,4,3,1,44,2,-1,-6,19
184,0.71706118,0.28293882,2,1,1,6,5,2,51,2,-1,1,19
185,0.411753501,0.588246499,2,1,1,-2,4,2,50,1,-1,3,19
186,0.250958569,0.749041431,5,1,1,2,2,1,55,1,-1,1,19
187,0.465428062,0.534571938,1,1,1,-2,2,1,69,1,-1,1,19
188,0.664115001,0.335884999,2,1,1,6,6,2,53,1,-1,1,19
189,0.654535379,0.345464621,1,1,2,-2,5,2,43,2,-1,1,19
190,0.121019315,0.878980685,1,1,1,3,1,2,63,2,-1,4,19
191,0.606582105,0.393417895,2,1,1,4,5,1,46,2,-1,1,19
192,0.277704091,0.722295909,1,1,2,4,2,1,33,2,-1,1,19
193,0.85077136,0.14922864,2,1,1,-2,-2,1,33,1,-1,1,19
194,0.814405729,0.185594271,-2,1,2,-2,5,2,56,1,-1,1,19
195,0.118498696,0.881501304,-2,1,1,-2,1,2,36,1,-1,2,19
196,0.375478915,0.624521085,1,5,1,-2,2,1,26,2,-1,1,21
197,0.318593304,0.681406696,1,1,2,-2,1,1,22,1,-1,2,21
198,0.076790581,0.923209419,-2,2,1,-2,3,-9,36,2,-1,2,21
199,0.265674353,0.734325647,1,1,1,-2,3,2,53,1,-1,2,21
200,0.691992513,0.308007487,2,1,1,5,6,1,22,2,-1,1,21
201,0.530421882,0.469578118,-2,1,-6,5,6,1,32,2,-1,-6,21
202,0.598235803,0.401764197,-2,5,2,1,7,1,51,2,-1,1,21
203,0.211348963,0.788651037,-2,2,2,-2,4,1,24,2,-1,2,21
204,0.755706034,0.244293966,-2,1,1,-2,5,2,22,2,-1,3,21
205,0.877240702,0.122759298,-2,1,2,-2,5,1,43,1,-1,1,21
206,0.133945248,0.866054752,-2,1,1,1,3,2,22,2,-1,3,22
207,0.493602259,0.506397741,5,1,1,4,4,2,25,1,-1,4,22
208,0.305726284,0.694273716,1,1,1,3,3,2,21,1,-1,3,22
209,0.737996671,0.262003329,2,1,1,5,6,1,25,1,-1,3,22
210,0.431552067,0.568447933,5,1,1,3,1,2,32,1,-1,1,22
211,0.596471317,0.403528683,-2,1,1,5,5,2,35,2,-1,3,22
212,0.304261023,0.695738977,1,1,1,4,3,2,31,1,-1,3,22
213,0.236677749,0.763322251,2,3,2,-2,4,1,39,1,-1,2,24
214,0.175520449,0.824479551,-2,6,2,-2,4,2,47,2,-1,5,24
215,0.027913186,0.972086814,1,2,1,-2,1,1,57,1,-1,1,24
216,0.702701989,0.297298011,-2,1,-6,-2,5,2,22,2,-1,-6,24
217,0.145327812,0.854672188,1,1,1,4,2,1,53,2,-1,2,24
218,0.397077205,0.602922795,1,1,1,5,6,1,32,1,-1,2,24
219,0.962077596,0.037922404,2,1,1,6,7,1,70,1,-1,1,24
220,0.147908285,0.852091715,-2,1,1,3,2,2,40,2,-1,1,24
221,0.097856224,0.902143776,1,1,2,4,3,2,51,2,-1,1,24
222,0.190536181,0.809463819,1,1,1,3,1,1,57,1,-1,1,24
223,0.243459519,0.756540481,-2,1,1,-2,4,2,59,2,-1,2,24
224,0.464226169,0.535773831,2,1,1,5,6,1,40,2,-1,1,24
225,0.835702592,0.164297408,-2,1,-6,7,7,2,54,2,-1,-6,24
226,0.300404315,0.699595685,-2,1,1,-2,4,1,52,2,-1,3,24
227,0.04234514,0.95765486,1,6,1,2,3,2,60,1,-1,1,24
228,0.826628429,0.173371571,-2,1,1,5,7,1,89,2,-1,3,24
229,0.873775659,0.126224341,-2,1,-6,-2,5,1,59,2,-1,-6,24
230,0.027109207,0.972890793,1,1,1,2,1,2,46,2,-1,2,25
231,0.592072376,0.407927624,2,1,1,5,5,2,42,1,-1,1,25
232,0.114777313,0.885222687,1,1,1,4,3,1,-2,1,-1,2,25
233,0.482613722,0.517386278,2,1,1,-2,5,2,54,2,-1,2,25
234,0.356297877,0.643702123,2,1,1,5,5,2,42,1,-1,2,25
235,0.077158805,0.922841195,1,1,1,-2,1,2,53,2,-1,1,25
236,0.081342408,0.918657592,-2,1,1,4,3,2,47,1,-1,3,25
237,0.068578087,0.931421913,1,1,1,1,1,2,61,1,-1,1,25
238,0.076130793,0.923869207,1,1,2,4,3,2,64,1,-1,2,25
239,0.62280178,0.37719822,2,1,1,5,5,2,47,1,-1,1,25
240,0.265625421,0.734374579,2,3,1,5,4,2,50,1,-1,3,25
241,0.281847008,0.718152992,2,1,2,-2,4,2,47,2,-1,1,25
242,0.854678471,0.145321529,2,1,1,6,5,1,61,1,-1,1,25
243,0.052970249,0.947029751,1,1,1,2,3,1,64,1,-1,4,25
244,0.055577312,0.944422688,-2,2,-6,4,3,2,34,1,-1,-6,25
245,0.054546213,0.945453787,-2,1,2,-2,3,2,56,2,-1,2,25
246,0.048256383,0.951743617,1,1,2,2,1,2,55,1,-1,2,25
247,0.068013288,0.931986712,1,1,1,2,3,2,61,1,-1,1,25
248,0.051485167,0.948514833,-2,1,1,3,3,2,20,2,-1,2,25
249,0.114172505,0.885827495,1,1,2,4,3,2,41,1,-1,2,26
250,0.135914278,0.864085722,1,1,1,5,1,2,56,2,-1,2,26
251,0.371049467,0.628950533,-2,1,2,-2,4,2,35,2,-1,1,26
252,0.145187086,0.854812914,1,1,2,-2,1,2,62,2,-1,1,26
253,0.363280402,0.636719598,-9,1,1,4,4,2,68,2,-1,1,26
254,0.11771425,0.88228575,-2,1,2,-2,3,2,54,2,-1,3,26
255,0.217785696,0.782214304,1,1,2,2,2,1,41,1,-1,1,26
256,0.443147041,0.556852959,2,1,1,4,6,1,49,2,-1,1,26
257,0.960339993,0.039660007,2,1,1,6,7,1,41,2,-1,1,29
258,0.666860357,0.333139643,1,1,1,4,2,1,74,2,-1,1,29
259,0.864213392,0.135786608,-2,1,-6,5,5,2,83,2,-1,-6,29
260,0.302744251,0.697255749,1,1,1,2,3,2,75,1,-1,2,29
261,0.278833105,0.721166895,1,1,1,2,1,1,69,1,-1,2,29
262,0.268981355,0.731018645,1,1,1,2,1,1,85,2,-1,1,29
263,0.930563905,0.069436095,2,1,1,6,5,1,60,2,-1,1,29
264,0.741891221,0.258108779,1,1,1,3,5,2,83,2,-1,2,29
265,0.318793757,0.681206243,-2,5,2,4,2,2,23,2,-1,2,29
266,0.557515713,0.442484287,-2,1,2,4,2,2,45,2,-1,3,29
267,0.613457498,0.386542502,-2,1,1,4,4,1,83,2,-1,2,29
268,0.658808723,0.341191277,-2,1,1,3,6,1,19,1,-1,4,29
269,0.621001075,0.378998925,1,1,1,4,2,2,40,1,-1,1,30
270,0.322479097,0.677520903,1,5,1,2,1,2,22,1,-1,4,30
271,0.626952829,0.373047171,2,1,1,5,6,1,53,2,-1,2,30
272,0.879873296,0.120126704,2,1,1,-2,5,2,56,2,-1,1,30
273,0.269993232,0.730006768,1,1,1,2,1,2,56,1,-1,4,30
274,0.585682948,0.414317052,1,1,1,4,2,1,47,1,-1,4,30
275,0.255573142,0.744426858,1,1,1,2,1,2,65,1,-1,2,30
276,0.428038541,0.571961459,2,6,1,4,3,2,72,1,-1,1,30
277,0.540780945,0.459219055,-2,1,1,4,3,1,32,1,-1,1,30
278,0.738706522,0.261293478,2,1,1,5,6,1,35,2,-1,1,30
279,0.512030579,0.487969421,1,1,1,4,1,1,62,2,-1,1,30
280,0.946531091,0.053468909,2,1,1,6,7,1,63,1,-1,1,34
281,0.346380826,0.653619174,-2,1,-6,4,2,1,76,1,-1,-6,34
282,0.151961954,0.848038046,2,1,1,4,6,2,54,2,-1,2,34
283,0.451645483,0.548354517,1,1,1,4,6,1,53,1,-1,1,34
284,0.914710833,0.085289167,2,1,1,6,7,1,46,2,-1,1,34
285,0.095108488,0.904891512,-2,1,-6,-2,3,2,62,1,-1,-6,34
286,0.141632113,0.858367887,2,1,1,4,1,2,57,2,-1,1,34
287,0.101639975,0.898360025,-2,1,-6,3,3,1,51,2,-1,-6,34
288,0.265897891,0.734102109,2,1,1,5,6,1,54,2,-1,2,34
289,0.915163518,0.084836482,2,1,1,6,7,2,61,1,-1,1,34
290,0.173341403,0.826658597,2,1,1,3,4,2,50,1,-1,2,34
291,0.873129117,0.126870883,2,1,2,6,7,1,37,2,-1,1,34
292,0.330210029,0.669789971,-2,1,2,-2,4,2,40,1,-1,3,34
293,0.243451837,0.756548163,-2,1,2,-2,-2,2,32,2,-1,3,34
294,0.758023033,0.241976967,2,1,1,4,5,1,62,1,-1,1,34
295,0.064069232,0.935930768,1,1,1,2,1,1,41,2,-1,1,34
296,0.039703499,0.960296501,1,2,1,4,3,1,52,1,-1,3,34
297,0.259718482,0.740281518,1,1,2,4,2,1,61,2,-1,1,34
298,0.084357268,0.915642732,1,3,1,2,1,1,54,1,-1,1,34
299,0.111720221,0.888279779,1,3,1,4,3,1,65,1,-1,2,34
300,0.577060085,0.422939915,2,1,1,4,5,1,54,2,-1,1,34
301,0.203513989,0.796486011,-2,5,1,-2,2,2,31,2,-1,2,35
302,0.226914158,0.773085842,-2,5,2,-2,2,2,66,2,-1,2,35
303,0.904293674,0.095706326,2,5,1,6,7,1,61,2,-1,1,35
304,0.789351768,0.210648232,1,2,1,-2,5,1,53,1,-1,1,35
305,0.111802667,0.888197333,1,5,1,-2,1,1,52,2,-1,1,35
306,0.062990198,0.937009802,-2,5,-6,-2,3,2,19,2,-1,-6,35
307,0.515194827,0.484805173,-2,5,1,5,5,1,27,1,-1,2,35
308,0.436354906,0.563645094,1,5,1,6,1,1,68,1,-1,1,35
309,0.111214545,0.888785455,-2,5,1,-2,2,1,22,2,-1,2,36
310,0.179928916,0.820071084,1,5,1,5,1,1,30,1,-1,1,36
311,0.210309173,0.789690827,-2,1,1,5,1,1,53,1,-1,1,36
312,0.22371538,0.77628462,-2,2,1,7,4,1,23,2,-1,3,36
313,0.057186135,0.942813865,1,2,1,4,1,1,33,2,-1,1,36
314,0.052126675,0.947873325,-2,1,1,-2,1,1,59,2,-1,1,36
315,0.112258371,0.887741629,1,1,1,5,3,1,73,2,-1,1,36
316,0.086777888,0.913222112,-2,1,2,2,-2,2,90,2,-1,1,36
317,0.066031549,0.933968451,-2,3,-6,4,1,1,64,1,-1,-6,36
318,0.091569846,0.908430154,2,5,1,3,2,1,61,2,-1,4,36
319,0.302188974,0.697811026,-2,4,1,4,6,1,40,2,-1,1,36
320,0.377796966,0.622203034,1,1,1,5,6,1,47,2,-1,1,36
321,0.547246787,0.452753213,2,1,1,3,6,2,41,1,-1,1,37
322,0.740069889,0.259930111,1,1,2,-8,4,1,65,1,-1,1,37
323,0.161721308,0.838278692,1,2,1,5,1,1,42,1,-1,1,37
324,0.170765262,0.829234738,-2,1,1,2,2,2,46,1,-1,4,37
325,0.764847484,0.235152516,2,1,1,4,5,2,41,1,-1,1,37
326,0.725251847,0.274748153,-2,1,2,5,4,1,62,1,-1,1,37
327,0.43108927,0.56891073,-2,6,1,-2,4,1,55,2,-1,1,37
328,0.290068376,0.709931624,2,1,1,4,3,1,87,1,-1,2,37
329,0.948369085,0.051630915,2,1,1,7,7,1,61,2,-1,1,37
330,0.158701729,0.841298271,-2,6,1,5,2,1,22,2,-1,4,37
331,0.051063373,0.948936627,1,2,1,-2,3,1,19,1,-1,4,37
332,0.105446207,0.894553793,1,1,1,2,1,2,30,1,-1,-8,37
333,0.186495479,0.813504521,1,1,1,3,3,2,42,1,-1,3,37
334,0.176320899,0.823679101,1,1,1,2,2,1,23,2,-1,3,37
335,0.184684156,0.815315844,1,1,1,4,3,1,65,2,-1,2,37
336,0.811889765,0.188110235,1,1,1,4,5,1,29,1,-1,1,37
337,0.116221728,0.883778272,1,1,1,1,1,1,57,1,-1,2,37
338,0.179568811,0.820431189,1,6,1,4,3,1,58,2,-1,4,37
339,0.070114751,0.929885249,1,1,1,2,3,1,54,2,-1,2,37
340,0.317460107,0.682539893,1,1,1,3,2,1,32,1,-1,3,37
341,0.744507509,0.255492491,2,1,1,5,5,1,68,2,-1,1,39
342,0.153701742,0.846298258,1,1,2,-2,3,1,54,2,-1,1,39
343,0.926546589,0.073453411,2,1,1,6,7,1,69,2,-1,1,39
344,0.077168652,0.922831348,1,1,1,2,1,1,59,2,-1,1,39
345,0.544333408,0.455666592,1,1,1,4,4,1,52,1,-1,1,39
346,0.200478748,0.799521252,2,1,1,-2,2,1,37,2,-1,3,39
347,0.76286395,0.23713605,2,1,1,5,5,1,67,2,-1,1,39
348,0.126402881,0.873597119,1,1,1,5,3,2,55,1,-1,2,39
349,0.03039826,0.96960174,1,2,1,-2,1,1,56,2,-1,1,39
350,0.343535883,0.656464117,1,1,2,-2,3,2,41,1,-1,1,40
351,0.308400259,0.691599741,-2,1,2,3,2,2,36,2,-1,3,40
352,0.328927182,0.671072818,1,2,1,3,2,1,42,1,-1,1,40
353,0.320602155,0.679397845,-2,1,2,3,3,1,50,2,-1,3,40
354,0.763464159,0.236535841,-2,1,2,-2,5,2,24,1,-1,2,40
355,0.947796514,0.052203486,2,1,1,7,7,1,44,2,-1,1,40
356,0.340177224,0.659822776,1,4,1,4,3,1,35,1,-1,3,40
357,0.123913561,0.876086439,1,2,2,4,1,2,53,2,-1,1,42
358,0.128121309,0.871878691,-2,1,-6,4,3,1,35,2,-1,-6,42
359,0.079232045,0.920767955,1,2,1,-2,2,1,57,2,-1,2,42
360,0.103435175,0.896564825,1,2,2,-2,1,2,59,1,-1,3,42
361,0.08885152,0.91114848,-2,2,2,4,3,2,70,2,-1,5,42
362,0.017111338,0.982888662,1,2,1,-2,1,1,48,2,-1,2,42
363,0.065910204,0.934089796,1,2,1,4,1,1,65,2,-1,2,42
364,0.040780933,0.959219067,1,2,1,4,1,2,44,2,-1,2,42
365,0.76459703,0.23540297,2,1,1,5,7,1,44,2,-1,2,42
