ID,Inc,Hisp,Age,WHITE,Gender
R_9Hoktb1LjTwPHFj,$50K to $75K,Not Hispanic,42,White,Male
R_a3JT4v60JoY5GAZ,Prefer not to answer,Not Hispanic,34,White,Female
R_emwgwPDPXmjk4Xb,$50K to $75K,Not Hispanic,38,White,Female
R_7VQ0OtNL3pUjitv,$50K to $75K,Not Hispanic,25,Non-white,Male
R_4Iol8RbhIgfxmMl,$75K to $100K,,61,White,Male
R_dmccxyYmEMRsLlP,$25K to $50K,Not Hispanic,25,White,Female
R_0wUqUWNuzVBNMGx,$50K to $75K,Not Hispanic,60,White,Male
R_0AGUaDeYq033Hdb,$100K to $150K,Not Hispanic,63,White,Male
R_4VgI5Gi3RpcEfcN,$150K to $200K,Not Hispanic,65,White,Male
R_06wiz5IHFAk9qEB,Prefer not to answer,Not Hispanic,46,White,Female
R_5oIHOkiaZIB9mOV,$50K to $75K,Hispanic,49,White,Female
R_9TuPBeT8fnsZNgp,$25K to $50K,Not Hispanic,46,Non-white,Female
R_cOYiHGWY1lFRarX,$100K to $150K,Not Hispanic,30,White,Female
R_9FEJczqeFsqiwtv,$25K to $50K,Not Hispanic,24,White,Female
R_6LLwiErY6ZEvCXH,$75K to $100K,Not Hispanic,30,White,Female
R_0TwIwxYSIbUFANL,$50K to $75K,Not Hispanic,37,Non-white,Female
R_8q6S9sWndGILB0p,$100K to $150K,Hispanic,32,White,Female
R_esoP0mEtfX09rPn,$150K to $200K,Not Hispanic,59,White,Male
R_8J5RuRUOk33y4M5,$100K to $150K,Not Hispanic,63,White,Male
R_0DNYGfPKxeHFjhz,$50K to $75K,Not Hispanic,25,White,Female
R_7QFy65saYmHgdfL,$15K to $25K,Not Hispanic,39,White,Female
R_bOaTkLf4QzRHPp3,$100K to $150K,Not Hispanic,56,White,Male
R_ezF7PWldMwMyWl7,$50K to $75K,,70,White,Male
R_0rJSoLHdW6C4uTH,$150K to $200K,Not Hispanic,62,White,Female
R_6zEBEcSJ92QgmfX,$25K to $50K,Not Hispanic,57,White,Female
R_2cpNplqLIjfsgkJ,$75K to $100K,Not Hispanic,28,White,Male
R_2f6znPc9xRYlR5P,$100K to $150K,Not Hispanic,35,Non-white,Female
R_2txkOtfBvj49YYB,$15K to $25K,Not Hispanic,49,White,Female
R_892oYAaI3Okulq5,$100K to $150K,Not Hispanic,24,White,Female
R_1FyhxkBVjrmIC8d,$50K to $75K,Not Hispanic,59,White,Male
R_bvg9IJtrUnBoAvP,$25K to $50K,Not Hispanic,54,White,Female
R_56jDRT2RxQbb737,$100K to $150K,Not Hispanic,52,White,Female
R_884507tj6wovaMB,$75K to $100K,Not Hispanic,36,Non-white,Female
R_4ZbuqlJMF7c4VU1,$150K to $200K,Not Hispanic,47,White,Female
R_9LWCNGmc6Nk4Xxb,$100K to $150K,,47,Non-white,Male
R_9RcMww7WxDCDC1n,$75K to $100K,Not Hispanic,34,White,Female
R_brUAqKzCqugDEq1,$150K to $200K,Not Hispanic,44,White,Male
R_3l7P9o0Hl0JrRwF,$50K to $75K,Not Hispanic,54,White,Male
R_8eqd7YYj4vH74u9,$100K to $150K,Not Hispanic,64,White,Male
R_bw1mkekf7Z7hBm5,$100K to $150K,Not Hispanic,53,White,Female
R_2otsN6aIk3W9MYR,$50K to $75K,,48,White,Female
R_ebOGfS6bKSDdwMd,$100K to $150K,Not Hispanic,48,White,Male
R_bJwHGCyySGRMxN3,$100K to $150K,Not Hispanic,41,White,Female
R_8qBFCuHhVamhJuB,Prefer not to answer,Not Hispanic,61,White,Male
R_bwI0Va5Be3AH5MV,$25K to $50K,Not Hispanic,69,Non-white,Male
R_4MxXGAIMtFCjuJL,$25K to $50K,,58,White,Male
R_8AhekjuarndCawd,$25K to $50K,Not Hispanic,80,White,Male
R_8ekc4ahS8z4Hpv7,$100K to $150K,Not Hispanic,42,Non-white,Female
R_6XwxnzBy7fsHfF3,$100K to $150K,Not Hispanic,54,White,Male
R_3dYiypxR575GEgl,$25K to $50K,Not Hispanic,45,White,Male
R_6L3HkLTbTbcmu8t,Prefer not to answer,Not Hispanic,19,White,Female
R_3O61gHxyoP0KggB,$15K to $25K,Not Hispanic,28,White,Female
R_dh5LGf7cmHwzjh3,Prefer not to answer,Not Hispanic,28,White,Female
R_4YMJ3Y7QULq9JSR,$75K to $100K,Not Hispanic,46,White,Male
R_cOVoUMXPV2uqGSF,$25K to $50K,Not Hispanic,62,White,Female
R_50wYoNUwPqF26yx,$150K to $200K,Hispanic,45,White,Female
R_8l8cjOQ6B5s2qrP,$75K to $100K,Not Hispanic,52,White,Male
R_56Il1GsiYj3X3a5,$75K to $100K,Hispanic,39,White,Female
R_d0bymnwSwfB8QHb,$25K to $50K,,66,White,Male
R_40en0LuyfshctcF,$25K to $50K,Not Hispanic,45,White,Female
R_cARnMaKPdzhTC0B,$75K to $100K,Not Hispanic,68,White,Male
R_73eEtQutyUHnZHv,$25K to $50K,Not Hispanic,35,White,Male
R_5hDBX1s5eTdBz8N,$25K to $50K,Hispanic,52,Non-white,Female
R_09eH3SyDVE97WqF,Less than $15K,Hispanic,94,White,Female
R_1RCI9BO4AeWTxIx,Prefer not to answer,Not Hispanic,50,White,Male
R_3UWsyrBGg3TrxUF,$50K to $75K,Not Hispanic,50,White,Female
R_832fxdV4QEySr6B,$25K to $50K,Not Hispanic,38,White,Female
R_b1PnjLAVMS2gRhz,$50K to $75K,Not Hispanic,45,White,Male
R_5syufQIpdgSFRQN,Prefer not to answer,Not Hispanic,48,White,Female
R_dotAfue0bxBbMWh,$15K to $25K,Not Hispanic,52,White,Female
R_6XMcpbGtpzjWKJn,$100K to $150K,,32,White,Male
R_264k2Iv5I460OhL,$50K to $75K,Not Hispanic,37,Non-white,Female
R_5cf9ug7blHKzEDX,"$500K to $1,000K",Not Hispanic,38,White,Female
R_djmFRcWL02htCa9,$50K to $75K,,43,White,Female
R_eQ0Km1ClWIfLT6J,$100K to $150K,Not Hispanic,23,White,Female
R_2gDxTzL4OEeECnH,$100K to $150K,Not Hispanic,55,White,Male
R_b9E2ByvNgMDKHSR,Prefer not to answer,Not Hispanic,48,Non-white,Female
R_9pLW3mx0lm3fcoZ,$50K to $75K,Not Hispanic,48,White,Male
R_1LzU2b6dAOcujtj,$200K to $250K,Not Hispanic,37,Non-white,Female
R_a97TJ2N9NbfWRWl,Prefer not to answer,Not Hispanic,48,Non-white,Female
R_37tRKGkylVaY0rb,$100K to $150K,Hispanic,25,White,Male
R_0BqeQm9DcxPu2MJ,$75K to $100K,Not Hispanic,53,White,Male
R_bPeKlUIz3YJDio5,$150K to $200K,Not Hispanic,,White,Male
R_6fJfg15ox9DGckJ,Prefer not to answer,Not Hispanic,57,,Female
R_6WHnSykRHK4XLs9,$150K to $200K,Not Hispanic,49,White,Male
R_e5vUlbX7spTeG5T,$75K to $100K,,53,White,Female
R_3sIZHn5r5ilMlbD,$200K to $250K,Not Hispanic,35,White,Male
R_0qWjIKfJNYpFZFb,$50K to $75K,Not Hispanic,43,White,Male
R_4VkFHY3T5dhI2DH,$150K to $200K,Not Hispanic,51,White,Male
R_cOYpyA2IVOcm3ul,$50K to $75K,Not Hispanic,61,White,Female
R_dcndSeV3DHvR5Ot,$25K to $50K,,27,White,Female
R_eb4thrlwqSPNGi9,"More than $1,000K",Hispanic,24,Non-white,Male
R_4NKUrzsLOLCtRBj,$75K to $100K,Not Hispanic,42,White,Female
R_5A0O8TYkf5VZXA9,$100K to $150K,Not Hispanic,60,White,Male
R_7agzvPtdI6mYWCp,$200K to $250K,Not Hispanic,37,White,Female
R_8wy5bM1KaPsyYzX,$100K to $150K,Not Hispanic,34,White,Female
R_82g1L6iBvqWUPZ3,$50K to $75K,Not Hispanic,63,White,Male
R_etavy2TpSsxuNtb,$50K to $75K,Not Hispanic,60,White,Female
R_egj956NyzkOoHhb,$25K to $50K,Not Hispanic,23,Non-white,Female
R_eOL65RMPL8i4zjf,$25K to $50K,Not Hispanic,62,White,Female
R_3xQiOuEXrsLrb1P,$100K to $150K,Not Hispanic,46,White,Male
R_50jSco1eAyTFYDH,$100K to $150K,Not Hispanic,34,White,Female
R_aeK5sKMa9dvWeqN,$75K to $100K,Not Hispanic,36,Non-white,Female
R_9Y7mVJe2JuzDefz,$250K to $500K,,80,White,Female
R_00TVlJ18SZUNtBP,$50K to $75K,Not Hispanic,35,Non-white,Female
R_2uc34e1kunFU9Zr,$50K to $75K,Not Hispanic,59,Non-white,Female
R_8c3olfLVnDmOost,$50K to $75K,Not Hispanic,46,White,Male
R_cAvvcEoAO1Ms0oB,$25K to $50K,Not Hispanic,23,White,Female
R_b41EnwLqhaNwa57,$25K to $50K,Not Hispanic,32,Non-white,Male
R_3yfzJPSRyBXhpLD,$150K to $200K,Hispanic,42,White,Female
R_3DBK8MjdVzrMbIh,Prefer not to answer,Not Hispanic,53,White,Female
R_8uXZ3fG6yEh7HqB,$100K to $150K,Not Hispanic,30,White,Female
R_9z6wRoloq0u7Rit,$100K to $150K,Not Hispanic,57,White,Female
R_8GLY3LDMo98fW2F,$100K to $150K,Not Hispanic,41,White,Male
R_ezDOd5PuKZnSkXX,$50K to $75K,Not Hispanic,35,White,Female
R_bHkCksCJu2Mc44d,$15K to $25K,Not Hispanic,43,White,Male
R_7ZJHrJcoQar95SB,$100K to $150K,Not Hispanic,58,White,Male
R_2hq7sLo8mWkfchv,$200K to $250K,Not Hispanic,33,Non-white,Female
R_e532cKhgbnYf7xP,$75K to $100K,,67,White,Female
R_d6cT5HkNrfAFsvH,$50K to $75K,Not Hispanic,67,White,Female
R_6iiC206o84WLa6N,$50K to $75K,Not Hispanic,58,White,Male
R_77cyiVZewie7dwp,Prefer not to answer,Not Hispanic,51,Non-white,Female
R_9tUkkdDnjeferoV,$75K to $100K,Hispanic,21,White,Female
R_dmxrNKN4YIXkyP3,Less than $15K,Not Hispanic,40,Non-white,Male
R_a62f5O5omMqpFqJ,$75K to $100K,Not Hispanic,38,White,Male
R_3FaHMjHs0MbnQvH,Less than $15K,Not Hispanic,30,Non-white,Female
R_6hDRzk6LxWyMDQx,$25K to $50K,Not Hispanic,21,Non-white,Male
R_3IsctPM0ebR4gst,$75K to $100K,Not Hispanic,94,White,Male
R_8uI5CEvkUWR3FIN,$100K to $150K,,28,White,Female
R_5sWYySIau9tJTfL,$25K to $50K,Not Hispanic,60,White,Male
R_bec3NlBD0dog2mV,$200K to $250K,Not Hispanic,33,White,Male
R_3BIyL07uLF3HEKV,$25K to $50K,Not Hispanic,44,White,Male
R_eapFFeNASHgJnut,$15K to $25K,Not Hispanic,21,Non-white,Male
R_agcJWI9cktRQ1md,$250K to $500K,Not Hispanic,52,White,Female
R_42PhVZh3MpP1laJ,$50K to $75K,Not Hispanic,61,White,Male
R_bQlV5tvvGYKK0Hr,$50K to $75K,Hispanic,41,Non-white,Female
R_2t6geOjaIlLnZAN,Prefer not to answer,Not Hispanic,66,White,Male
R_9AlX0dtXtGIHSnz,$50K to $75K,Hispanic,27,White,Male
R_3yjQR9fDNJxVgZ7,$75K to $100K,,55,White,Female
R_e2p0Nbmckj37iaF,$75K to $100K,Not Hispanic,44,White,Male
R_b9s9BR26L1Mr1vD,Less than $15K,Not Hispanic,24,White,Female
R_5b8goIHByQI6wbX,Less than $15K,Not Hispanic,53,Non-white,Male
R_1HBnZDhpNLRk5fL,Prefer not to answer,Not Hispanic,52,White,Male
R_cSb5vuQIj9FcmhL,$75K to $100K,Not Hispanic,30,Non-white,Male
R_eYbd175ypIaHr8h,$25K to $50K,Not Hispanic,26,White,Female
R_6kQNBOplyGKtIJD,$50K to $75K,Not Hispanic,46,White,Female
R_6KCSKFf7gw99r13,$150K to $200K,Hispanic,37,White,Female
R_1MJfZzQ3S1SXuLP,$100K to $150K,Not Hispanic,39,White,Female
R_9zsv3nebRaL2wrb,$25K to $50K,Not Hispanic,51,White,Female
R_3R75eHE8TXYvn3T,$25K to $50K,Not Hispanic,57,White,Female
R_3OxOcFU6f8Np9yd,$25K to $50K,Not Hispanic,60,White,Male
R_ekCN2bUTfPp7S5L,$50K to $75K,Not Hispanic,36,White,Female
R_2mAGeTV1nHoD3Cd,Less than $15K,Not Hispanic,37,Non-white,Female
R_8uE4jkE9Q3Rnn5H,$75K to $100K,Not Hispanic,35,White,Male
R_3DbnU0yebhO5Ey1,$25K to $50K,,36,Non-white,Male
R_b1Nmh6638RBtcFf,$200K to $250K,Not Hispanic,41,White,Male
R_cD3sMruEVvLPJFr,$250K to $500K,Not Hispanic,48,White,Male
R_2tx1jUDWgw8UABL,$50K to $75K,Hispanic,29,White,Male
R_aXgG217rbaRfBVX,$50K to $75K,Not Hispanic,27,Non-white,Female
R_cvIax4f5aWIvO4J,$25K to $50K,Not Hispanic,28,White,Male
R_3JGmFZS64yDyQPH,$75K to $100K,Not Hispanic,30,White,Female
R_aWZuKqBqVuDoV9P,$250K to $500K,Not Hispanic,25,White,Male
R_6M7PTGBD0bGQzfD,$50K to $75K,,45,Non-white,Male
R_be0cUxhHrd0BF9H,$100K to $150K,Not Hispanic,27,Non-white,Male
R_b8VQGuMZz2EvtHf,$75K to $100K,Not Hispanic,49,White,Female
R_8nMeXVIBaTYPGTP,$100K to $150K,Not Hispanic,58,Non-white,Male
R_9nL6Y1JKKmc5uf3,$50K to $75K,Not Hispanic,59,White,Male
R_3jvXcMJVB0khaZf,Prefer not to answer,Not Hispanic,32,White,Male
R_3NMpowBAzVEubBz,$25K to $50K,Not Hispanic,22,White,Male
R_5stIW1MoEPjnBw9,$75K to $100K,,52,Non-white,Female
R_38EptKoXH8YDLRr,Prefer not to answer,Not Hispanic,71,White,Male
R_1MJvDjCEbZZqpJb,$25K to $50K,Not Hispanic,65,White,Female
R_6ybTwH1Ztlm5LKZ,$50K to $75K,Not Hispanic,26,White,Male
R_5iiLIXCeqy7m4CN,$75K to $100K,Not Hispanic,46,Non-white,Male
R_9p2EnPIvO9gSZdH,Prefer not to answer,Not Hispanic,58,White,Female
R_cSlCMpPXyl9dniR,$100K to $150K,Not Hispanic,41,White,Male
R_1ABbuxQQ2CpBDUx,$150K to $200K,,35,White,Male
R_aaWajAxzJLDWuPz,$50K to $75K,Not Hispanic,36,White,Male
R_6h4Fg2g5TtC3kdn,$25K to $50K,Not Hispanic,41,White,Male
R_6kVywf3cgz14rqJ,Prefer not to answer,Not Hispanic,47,White,Male
R_6sACQsGtqhlS1ox,$50K to $75K,Not Hispanic,45,White,Male
R_5ikS6GUTOWkFqKN,$50K to $75K,Not Hispanic,43,White,Male
R_1ZX6CtGVMPlMQzX,$75K to $100K,Not Hispanic,22,White,Female
R_2iaXk7RGN0ZU9Jr,Prefer not to answer,Not Hispanic,21,White,Female
R_0NRqjg0JSOsQyJD,$75K to $100K,Not Hispanic,43,White,Female
R_8Ju6XtDHQGbM149,$75K to $100K,Not Hispanic,24,White,Female
R_9LZ5eqzINbx1Yzz,$15K to $25K,,58,White,Male
R_bwj3htiwBXfnKzH,$200K to $250K,Not Hispanic,37,White,Male
R_7OqEkzBFzjizNjL,$75K to $100K,Not Hispanic,22,White,Male
R_dopOGpCtvMv6Sj3,$75K to $100K,Not Hispanic,40,Non-white,Female
R_9zxwHaEaRvcP1c1,$50K to $75K,Not Hispanic,47,White,Female
R_5AtU6w0u8wWTm97,$75K to $100K,Not Hispanic,49,White,Male
R_cMWjRiwXVQMqcfP,$100K to $150K,Not Hispanic,53,White,Female
R_6oiyJNdlwT9GrWt,$25K to $50K,Hispanic,28,White,Male
R_agacxYjDMQ9pjCJ,$100K to $150K,Not Hispanic,57,White,Female
R_b1t3wSXOvdxVDmt,$100K to $150K,Not Hispanic,31,White,Male
R_5auhfcmnsAaDHut,$50K to $75K,Not Hispanic,43,White,Female
R_9KAFdRrAKOQ5zaB,$50K to $75K,Hispanic,58,White,Female
R_9sPR07aabJ8OMjb,$200K to $250K,Not Hispanic,53,White,Male
R_1HT1qXumxlJPGJf,$100K to $150K,Not Hispanic,42,White,Male
R_eKdRurgE3Jfh0EZ,$75K to $100K,Not Hispanic,47,White,Male
R_4SJCCUrJJvViU2V,$25K to $50K,Not Hispanic,46,White,Female
R_1G3nQFIp2hvN4JT,$50K to $75K,Not Hispanic,63,White,Female
R_6AnvNvGj3lWPEpv,$25K to $50K,Not Hispanic,60,White,Male
R_8ljIlBFRVz9UZCt,Prefer not to answer,Not Hispanic,94,White,Male
R_e3xmwyBXkb4GXit,$50K to $75K,Not Hispanic,68,White,Male
R_86uGLfqROYDdyyF,$15K to $25K,Not Hispanic,23,White,Female
R_5yWCWyCt9Da5Ke1,$100K to $150K,,59,White,Female
R_8BrbEZLVEb47WCN,$15K to $25K,,30,White,Female
R_552fZE63Bw0POXX,$150K to $200K,Not Hispanic,38,Non-white,Male
R_6tcDMFYl30NXvqR,$25K to $50K,Not Hispanic,41,Non-white,Female
R_b14st1W7BOkKszX,$100K to $150K,Not Hispanic,33,Non-white,Female
R_erOqqaeIr3TdHi5,Less than $15K,Not Hispanic,21,Non-white,Male
R_0BCgFTell8CMLFH,Prefer not to answer,Not Hispanic,27,White,Male
R_cHeLcOhUKg1u4It,$50K to $75K,Not Hispanic,94,White,Male
R_b3XZlG2eTanZnJH,$75K to $100K,Hispanic,94,White,Male
R_0H43UknsPpOSCnX,$75K to $100K,Not Hispanic,37,White,Male
R_01VeQbLEk1yH9f7,$15K to $25K,Not Hispanic,44,White,Male
R_8tXDmUeR4mZGiEZ,Prefer not to answer,Not Hispanic,21,White,Male
R_5hAKNnYlosyyV6d,$25K to $50K,Not Hispanic,27,Non-white,Male
R_9vGiDraG8ocdzLL,Prefer not to answer,Not Hispanic,61,White,Male
R_elzZ3N7SzReyN37,$25K to $50K,Not Hispanic,18,White,Female
R_bfPCVRkVPchncOh,$100K to $150K,Hispanic,19,Non-white,Female
R_5gmCJOPuZpODfWB,$100K to $150K,Not Hispanic,32,White,Male
R_8cOKhmgI58UgjwF,$25K to $50K,Not Hispanic,35,,Female
R_bygxWB2MtLN8Kvb,$100K to $150K,Not Hispanic,24,White,Female
R_6LFLweKXRejt3Wl,Less than $15K,Not Hispanic,35,Non-white,Male
R_4HIEMmehqMBXejH,Less than $15K,Not Hispanic,19,Non-white,Female
R_cAc64hlrxX6P8xL,Less than $15K,Not Hispanic,26,White,Female
R_9XleH6h6YgVVspL,$100K to $150K,Not Hispanic,57,White,Male
R_2miKrH023Mm8qK9,$100K to $150K,,32,Non-white,Female
R_6D2j8xXrXV8P6Cx,Prefer not to answer,,56,White,Female
R_5mu0inJzkUzsdqB,$50K to $75K,Not Hispanic,61,White,Male
R_4GcYtZdzRvC0uIl,$25K to $50K,Not Hispanic,62,Non-white,Female
R_6zKAMTOU4UjjRJz,$75K to $100K,Not Hispanic,66,White,Male
R_eJRNunRNTZFbUUJ,$100K to $150K,Not Hispanic,45,White,Female
R_3qsKnRwLTdVMJ8x,$75K to $100K,Not Hispanic,38,White,Female
R_bCWebrOAXnePc0t,$25K to $50K,Not Hispanic,23,White,Female
R_eA12zyXNg9CmEQJ,Prefer not to answer,Not Hispanic,44,White,Male
R_4Np1iSY9TY3Tqsd,$50K to $75K,Not Hispanic,56,White,Female
R_8ByV117AITZCKNv,$25K to $50K,Not Hispanic,43,White,Male
R_9GOyudCq5NGbqHX,$250K to $500K,Not Hispanic,36,White,Female
R_1ZwdMlDaxClW2Lb,$75K to $100K,Not Hispanic,61,White,Female
R_d5LtjF2mEgLwIIJ,$100K to $150K,Not Hispanic,55,White,Female
R_5ATbRbQueHlUoTj,$100K to $150K,Not Hispanic,45,White,Female
R_em7GaP9Qh9Kq9JX,$200K to $250K,Not Hispanic,47,White,Male
R_8hV7PNohvUFzMkB,$50K to $75K,Not Hispanic,24,White,Female
R_0001qlHgysxS08B,$25K to $50K,Hispanic,58,Non-white,Male
R_3EO246Qups9nDy5,Prefer not to answer,Not Hispanic,18,White,Female
R_5BAqmeXBAFz0TFr,$50K to $75K,Not Hispanic,46,White,Female
R_26lkiCAQhncb5HL,Prefer not to answer,Not Hispanic,41,Non-white,Male
R_1TBEAnISxCnIov3,$75K to $100K,Not Hispanic,65,White,Male
R_4T3dZhBAXuCmUVn,$50K to $75K,Not Hispanic,35,White,Male
R_eEX9WRGPcBZZSo5,$75K to $100K,Hispanic,36,Non-white,Female
R_3VqMMGvRd8VBfRX,$100K to $150K,Not Hispanic,74,White,Female
R_cZ2iWGCnIbFO6SF,$50K to $75K,Hispanic,32,White,Female
R_egGqXS8su76SasR,$100K to $150K,Not Hispanic,28,White,Female
R_292opYFTLFSGPyZ,$100K to $150K,Not Hispanic,36,White,Female
R_3OARvSwx215331j,$50K to $75K,Not Hispanic,22,White,Female
R_8B5ArZjGtWzEklv,$150K to $200K,Not Hispanic,67,White,Male
R_4Hi80zokVPTh9Dn,Less than $15K,Not Hispanic,31,White,Male
R_8jGYU7rlppYrpmR,$150K to $200K,Not Hispanic,32,White,Male
R_cO9CWeqw4JznPAp,$100K to $150K,Not Hispanic,47,White,Female
R_01EWHWXv51UWOdT,$50K to $75K,Not Hispanic,58,White,Female
R_aXcLeHAYuZ6GCZD,$50K to $75K,Not Hispanic,48,White,Female
R_eyvoTaxrf4jogJv,$25K to $50K,Not Hispanic,21,White,Female
R_bNOWtnFdyALUVk9,$50K to $75K,Not Hispanic,22,White,Male
R_bdOvd9zFZaxYHFH,Prefer not to answer,Not Hispanic,57,White,Female
R_6zmREAgPQsqjQeV,$200K to $250K,Not Hispanic,71,White,Male
R_57lYkmMNb4j80MB,$75K to $100K,,47,White,Male
R_d6Hmfl5umXGZEwZ,Prefer not to answer,Not Hispanic,68,White,Male
R_0D0nt4MiPw7xjZX,$50K to $75K,Not Hispanic,29,White,Male
R_1TZ6qUPG5RY0pI9,$100K to $150K,Not Hispanic,49,White,Female
R_cZR4vwrjE6isMrH,$75K to $100K,Hispanic,57,White,Male
R_29KtbIk6c8uzbPD,$75K to $100K,Not Hispanic,28,White,Female
R_3Wq3mgpg8hNATnT,$25K to $50K,Not Hispanic,56,White,Female
R_emqwdzYVyF2lhwp,$75K to $100K,,35,White,Male
R_6gPWbO7MjRnJkoJ,$100K to $150K,Not Hispanic,21,Non-white,Female
R_8umizGGWJmCbOcZ,$75K to $100K,Not Hispanic,59,White,Female
R_0TwT5XNCGCV4EzH,Prefer not to answer,Not Hispanic,,White,Male
R_bvJqMEUrF2nHUNv,$25K to $50K,Not Hispanic,39,White,Male
R_egrEUKa2YrJV2fz,$200K to $250K,Not Hispanic,29,White,Female
R_5BmtsEsvRTDrIhL,$50K to $75K,Not Hispanic,45,White,Male
R_0B2RBSWhHZRVUih,$75K to $100K,Not Hispanic,36,Non-white,Male
R_bxehKzSWM0yGwO9,$25K to $50K,Not Hispanic,37,White,Female
R_0iUFltqWjqKZcnX,$75K to $100K,,45,White,Male
R_1TfuQsREj67rUgt,$25K to $50K,Not Hispanic,19,White,Female
