ID,Inc,Hisp,Ideo,Age,HD1,HD2,HD3,HD4,HR1,HR2,HR3,HR4,PID7,PID3_p,WHITE,HDans,HRans,Gender,GenR,GenD,dkR,dkD
R_5544QWHvSCPDRuB,Prefer not to answer,Not Hispanic,Slightly conservative,60,liberal,middle class,,,conservative,wealthier,,,Weak D,Democrat,White,2,2,Male,conservative|wealthier||,liberal|middle class||,0,0
R_bdrBWyOCANwjDiR,$50K to $75K,Not Hispanic,Extremely conservative,53,liberal,entitled,environmentalist,minorities,conservative,self reliant,hardworking,patriotic,Strong R,Republicans,White,4,4,Male,conservative|self reliant|hardworking|patriotic,liberal|entitled|environmentalist|minorities,0,0
R_dcDiLB7IoNxU1hz,$250K to $500K,Not Hispanic,Slightly liberal,40,kind,helpful,concerned,giving,snotty,conservative,rich,selfish,Strong D,Democrat,White,4,4,Female,snotty|conservative|rich|selfish,kind|helpful|concerned|giving,0,0
R_ePf3FIJF8oNI6tD,$100K to $150K,Not Hispanic,Extremely conservative,24,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,Lean R,Republicans,White,4,4,Female,don't know|don't know|don't know|don't know,don't know|don't know|don't know|don't know,1,1
R_3UUExeZBCduQbI1,$50K to $75K,Hispanic,Moderate/Haven't thought about it,45,bland,ineffective,tolerant,okay,conservatives,rednecks,racists,hypocrites,Weak D,Democrat,Non-white,4,4,Male,conservatives|rednecks|racists|hypocrites,bland|ineffective|tolerant|okay,0,0
R_a8LEFbrH0Wp3qT3,$25K to $50K,Not Hispanic,Slightly liberal,52,loud,kind,generous,oblivious,loud,obnoxious,stubborn,committed,Ind,Independent (excludes leaners),White,4,4,Female,loud|obnoxious|stubborn|committed,loud|kind|generous|oblivious,0,0
R_1B4CIIcyN7bIqXj,$250K to $500K,Not Hispanic,Moderate/Haven't thought about it,39,left wing,socialist,close-minded,taxing,independent,individual,freedom,prosperity,Weak R,Republicans,White,4,4,Female,independent|individual|freedom|prosperity,left wing|socialist|close-minded|taxing,0,0
R_9YV7piSIBe83OIt,$15K to $25K,Not Hispanic,Moderate/Haven't thought about it,36,poor,blacks,jobless,crime,whites,rich,racist,fancy,Strong D,Democrat,Non-white,4,4,Female,whites|rich|racist|fancy,poor|blacks|jobless|crime,0,0
R_2fX8SHmNC7HX1TD,Less than $15K,Not Hispanic,Slightly conservative,54,honest,normal,,,racist,ignorant,,,Strong D,Democrat,Non-white,2,2,Female,racist|ignorant||,honest|normal||,0,0
R_6heI9KJCLmdeBDf,$75K to $100K,,Liberal,50,open,positive,recycle,green,religious,no,stubborn,simple,Strong D,Democrat,White,4,4,Male,religious|no|stubborn|simple,open|positive|recycle|green,0,0
R_9zdPVAvIwYXhMW1,Prefer not to answer,Not Hispanic,Conservative,59,poor,uneducated,unreliable,liberal,conservative,educated,smart,reliable,Strong R,Republicans,White,4,4,Female,conservative|educated|smart|reliable,poor|uneducated|unreliable|liberal,0,0
R_0HQBgJm7GmMFYzj,$200K to $250K,Not Hispanic,Conservative,57,liberal,globalists,handouts,big government,conservative,religious,small government,balanced budget,Strong R,Republicans,White,4,4,Male,conservative|religious|small government|balanced budget,liberal|globalists|handouts|big government,0,0
R_bBDUslRw4LHY51P,$100K to $150K,Not Hispanic,Conservative,39,dependent,liar,lazy,dumb,conservative,honest,concerned,smart,Weak R,Republicans,White,4,4,Male,conservative|honest|concerned|smart,dependent|liar|lazy|dumb,0,0
R_b1otYsHutOy1dSl,$100K to $150K,Not Hispanic,Slightly liberal,30,poor,,,,rich,,,,Weak R,Republicans,Non-white,1,1,Male,rich|||,poor|||,1,1
R_b3DH3y6PzY8itdH,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,18,struggling,unintelligent,tree huggers,,well off,religious,,,Weak R,Republicans,White,3,2,Female,well off|religious||,struggling|unintelligent|tree huggers|,0,0
R_29vXezNFzmN6esl,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,59,progressive,prochoice,open borders,anti government,patriots,law abiding,constitution,prolife,Lean R,Republicans,White,4,4,Male,patriots|law abiding|constitution|prolife,progressive|prochoice|open borders|anti government,0,0
R_b1ThhJjBZVK9LPD,Prefer not to answer,Not Hispanic,Liberal,55,social liberal,welfare state,big taxes,big government,conservative,pro-life,nra nut,fiscal conservative,Strong D,Democrat,White,4,4,Female,conservative|pro-life|nra nut|fiscal conservative,social liberal|welfare state|big taxes|big government,0,0
R_0P1koNuBT7ZjXVz,$75K to $100K,Not Hispanic,Slightly liberal,32,smart,liberal,minorities,open,rich,white,ignorant,religious,Strong D,Democrat,White,4,4,Male,rich|white|ignorant|religious,smart|liberal|minorities|open,0,0
R_1YOIny0ZHw4T0rz,Prefer not to answer,Not Hispanic,Conservative,45,liberal,big government,socialistic,taxes,conservative,educated,professionals,caring,Lean R,Republicans,White,4,4,Female,conservative|educated|professionals|caring,liberal|big government|socialistic|taxes,0,0
R_6eNNi4bpXoilwy1,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,23,working class,poor,gun control,n/a,rich,high class,closed minded,na,Weak D,Democrat,White,4,4,Female,rich|high class|closed minded|na,working class|poor|gun control|n/a,1,1
R_9pG4IM28eFLqoDz,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,22,liberal,dependent,reliant,diverse,unsympathetic,wealthy,conservative,responsible,Ind,Independent (excludes leaners),White,4,4,Female,unsympathetic|wealthy|conservative|responsible,liberal|dependent|reliant|diverse,0,0
R_2sPvTxpAqh4sytD,$150K to $200K,Not Hispanic,Liberal,29,liberal,democrats,open-minded,acculturate,rich,religious,extremists,gun lovers,Weak D,Democrat,White,4,4,Female,rich|religious|extremists|gun lovers,liberal|democrats|open-minded|acculturate,0,0
R_1QQortSBPxQt23X,$150K to $200K,Not Hispanic,Liberal,77,liberal,caring,loyal,helpful,rich,mean,uncaring,frugal,Strong D,Democrat,White,4,4,Male,rich|mean|uncaring|frugal,liberal|caring|loyal|helpful,0,0
R_7VBrEBe4DCLTvfv,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,37,me,me,me,me,you,you,you,you,Ind,Independent (excludes leaners),Non-white,4,4,Male,you|you|you|you,me|me|me|me,0,0
R_4HZQ9VhPAV6MwMl,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,19,lit,fun,sexy,ill,racist,ugly,dumb,rich,Weak D,Democrat,Non-white,4,4,Male,racist|ugly|dumb|rich,lit|fun|sexy|ill,0,0
R_2fVwEhQhApmjeJL,$150K to $200K,Not Hispanic,Liberal,45,liberal,caring,blue collar,kind,conservative,white,detached,selfish,Strong D,Democrat,White,4,4,Male,conservative|white|detached|selfish,liberal|caring|blue collar|kind,0,0
R_3qHaFaAhGwAnVFr,$15K to $25K,Not Hispanic,Moderate/Haven't thought about it,25,smart,strong,thoughtful,,smart,strong,,,Lean D,Democrat,Non-white,3,2,Female,smart|strong||,smart|strong|thoughtful|,0,0
R_1WSOZX99izSN2AZ,$100K to $150K,Not Hispanic,Slightly conservative,41,liberal,welfare benefits,socialism,minorities,religious,fiscally responsible,white,pro-guns,Weak R,Republicans,White,4,4,Female,religious|fiscally responsible|white|pro-guns,liberal|welfare benefits|socialism|minorities,0,0
R_eb0gvywMog1rlc1,$25K to $50K,Not Hispanic,Conservative,53,delusional,nonfinancial,pro-criminal,theoretical,moral,frugal,donations,better,Strong R,Republicans,Non-white,4,4,Female,moral|frugal|donations|better,delusional|nonfinancial|pro-criminal|theoretical,0,0
R_0UmvaYZM77UbDbD,$75K to $100K,Not Hispanic,Conservative,43,dynamic,progressive,liberating,hope,apprehensive,scared,uncomfortable,unfavorable,Strong D,Democrat,Non-white,4,4,Male,apprehensive|scared|uncomfortable|unfavorable,dynamic|progressive|liberating|hope,0,0
R_bfoPPmyFnA0WtgN,$150K to $200K,Not Hispanic,Liberal,24,positive,liberal,thoughtful,educated,conservative,moderate,haphazard,crazy,Strong D,Democrat,White,4,4,Female,conservative|moderate|haphazard|crazy,positive|liberal|thoughtful|educated,0,0
R_6hWJrdGMheoq1pP,$50K to $75K,Not Hispanic,Slightly liberal,62,good,bad,ugly,nono,bad,badder,dumb,air head,Strong D,Democrat,White,4,4,Male,bad|badder|dumb|air head,good|bad|ugly|nono,0,0
R_4I46G85lXoyKrNX,$50K to $75K,Not Hispanic,Extremely conservative,22,liberal,taxes,trade,anti america,american,conservative,guns,rights,Strong R,Republicans,White,4,4,Male,american|conservative|guns|rights,liberal|taxes|trade|anti america,0,0
R_cvVC4haZ471LqIJ,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,94,,,,,,,,,Ind,Independent (excludes leaners),White,,,Male,|||,|||,1,1
R_6gR9bxR8sqrGpVz,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,45,interesting,honest,opionionated,different,shallow,naive,opinionated,different,Weak D,Democrat,White,4,4,Male,shallow|naive|opinionated|different,interesting|honest|opionionated|different,0,0
R_39OgukISIASk3tz,$25K to $50K,,Slightly conservative,18,arrogant,dumb,illiterate,confused,smart,caring,genuine,tough,Weak R,Republicans,White,4,4,Male,smart|caring|genuine|tough,arrogant|dumb|illiterate|confused,0,0
R_8CjB1T2uSJYkRaR,$75K to $100K,Not Hispanic,Conservative,27,liberal,extremist,dependent,idiotic,patriotic,sane,level headed,smart,Ind,Independent (excludes leaners),White,4,4,Male,patriotic|sane|level headed|smart,liberal|extremist|dependent|idiotic,0,0
R_4YOncjsby6D7aQZ,$25K to $50K,Not Hispanic,Slightly liberal,22,understanding,educated,equal,open,fascist,uneducated,white,suburb,Weak D,Democrat,White,4,4,Male,fascist|uneducated|white|suburb,understanding|educated|equal|open,0,0
R_9QqbikWcxIohAK9,$100K to $150K,Not Hispanic,Slightly conservative,22,smart,caring,strong,stubborn,strong,intelligent,independent,sure,Weak R,Republicans,White,4,4,Male,strong|intelligent|independent|sure,smart|caring|strong|stubborn,0,0
R_9Fw23igU92NqS5D,$100K to $150K,Not Hispanic,Liberal,36,liberal,kind,giving,charitable,rich,conservative,pompous,jerks,Strong D,Democrat,White,4,4,Female,rich|conservative|pompous|jerks,liberal|kind|giving|charitable,0,0
R_0kAps59SlbdSY29,$50K to $75K,Not Hispanic,Liberal,69,people,caring,environment,all,rightwing,conservative,"""christian""",old fashioned,Lean D,Democrat,White,4,4,Male,"rightwing|conservative|""christian""|old fashioned",people|caring|environment|all,0,0
R_9o6mliXxMId9Z89,$50K to $75K,,Moderate/Haven't thought about it,61,liberal,progressive,inclusive,patriotic,conservative,religious,angry,uninformed,Lean D,Democrat,White,4,4,Female,conservative|religious|angry|uninformed,liberal|progressive|inclusive|patriotic,0,0
R_7OtEQ5SUBy4ut2R,$25K to $50K,Not Hispanic,Conservative,63,give away,liberals,lawless,unorganized,rich,powerful,selfies,money,Ind,Independent (excludes leaners),Non-white,4,4,Male,rich|powerful|selfies|money,give away|liberals|lawless|unorganized,0,0
R_3r5XnIjyYck1aiV,$100K to $150K,Not Hispanic,Extremely conservative,61,uninformed,poor,misled,closed,conservative,smart,logical,successful,Strong R,Republicans,White,4,4,Male,conservative|smart|logical|successful,uninformed|poor|misled|closed,0,0
R_8kLw4Gk1Wgherqt,$25K to $50K,Not Hispanic,Conservative,67,liberal,intolerant,pc,immoral,religious,middle class,hardworking,conservative,Strong R,Republicans,White,4,4,Female,religious|middle class|hardworking|conservative,liberal|intolerant|pc|immoral,0,0
R_39sslX1ghfrkZNP,$75K to $100K,Hispanic,Slightly liberal,31,democrats,liberal,middle class,women,wealthy,conservative,caucasian,,Weak D,Democrat,White,4,3,Female,wealthy|conservative|caucasian|,democrats|liberal|middle class|women,0,0
R_6zGqm8tFXRaF0ep,$50K to $75K,Not Hispanic,Slightly liberal,21,democratic,,,,good,knowledgeable,,,Lean R,Republicans,Non-white,1,2,Female,good|knowledgeable||,democratic|||,0,1
R_5vWIaKahzEljSQd,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,21,liberal,,,,conservative,,,,Ind,Independent (excludes leaners),White,1,1,Female,conservative|||,liberal|||,1,1
R_cMAPTNH8tYDQoiF,$50K to $75K,Hispanic,Slightly conservative,48,me,family,women,minority,husband,guns,oil,money,Strong D,Democrat,White,4,4,Female,husband|guns|oil|money,me|family|women|minority,0,0
R_4V04U1vYwVvoKb3,$150K to $200K,Not Hispanic,Slightly liberal,27,liberal,socially forward,socialism,control,conservative,closed minded,stodgy,old,Weak D,Democrat,White,4,4,Female,conservative|closed minded|stodgy|old,liberal|socially forward|socialism|control,0,0
R_9Hoktb1LjTwPHFj,$50K to $75K,Not Hispanic,Conservative,42,weak,soft,fags,stupid,honest,strong,patriots,loyal,Strong R,Republicans,White,4,4,Male,honest|strong|patriots|loyal,weak|soft|fags|stupid,0,0
R_a3JT4v60JoY5GAZ,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,34,educators,liberal,relaxed,unions,rich,conservative,elite,stubborn,Weak D,Democrat,White,4,4,Female,rich|conservative|elite|stubborn,educators|liberal|relaxed|unions,0,0
R_emwgwPDPXmjk4Xb,$50K to $75K,Not Hispanic,Slightly liberal,38,union,employed,left,accepting,self absorbed,conservative,xenophobic,old,Strong D,Democrat,White,4,4,Female,self absorbed|conservative|xenophobic|old,union|employed|left|accepting,0,0
R_7VQ0OtNL3pUjitv,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,25,young,merchandise,educational,professional,mid class,conservative,mid age,politics,Lean D,Democrat,Non-white,4,4,Male,mid class|conservative|mid age|politics,young|merchandise|educational|professional,0,0
R_4Iol8RbhIgfxmMl,$75K to $100K,,Slightly conservative,61,younger,urban,poorer,interracial,rich,conservative,older,white,Lean R,Republicans,White,4,4,Male,rich|conservative|older|white,younger|urban|poorer|interracial,0,0
R_dmccxyYmEMRsLlP,$25K to $50K,Not Hispanic,Slightly conservative,25,liberal,liars,abortion,left,right,pro-life,conservative,rich,Weak R,Republicans,White,4,4,Female,right|pro-life|conservative|rich,liberal|liars|abortion|left,0,0
R_0wUqUWNuzVBNMGx,$50K to $75K,Not Hispanic,Conservative,60,poor,black,hispanic,blue collar,wealthy,business,white,upper class,Strong R,Republicans,White,4,4,Male,wealthy|business|white|upper class,poor|black|hispanic|blue collar,0,0
R_0AGUaDeYq033Hdb,$100K to $150K,Not Hispanic,Conservative,63,abortionists,blue collar workers,ethnic minorities,,conservatives,gun owners,business executives,,Lean R,Republicans,White,3,3,Male,conservatives|gun owners|business executives|,abortionists|blue collar workers|ethnic minorities|,0,0
R_4VgI5Gi3RpcEfcN,$150K to $200K,Not Hispanic,Slightly conservative,65,liberal,racist,needy,dumb,educated,conservative,pro-business,successful,Lean R,Republicans,White,4,4,Male,educated|conservative|pro-business|successful,liberal|racist|needy|dumb,0,0
R_06wiz5IHFAk9qEB,Prefer not to answer,Not Hispanic,Conservative,46,liberal,change,flamboyant,misers,conservative,stable,level headed,western(ish),Strong R,Republicans,White,4,4,Female,conservative|stable|level headed|western(ish),liberal|change|flamboyant|misers,0,0
R_5oIHOkiaZIB9mOV,$50K to $75K,Hispanic,Slightly conservative,49,easy,liberal,open,smart,stubborn,closed,money,power,Weak D,Democrat,White,4,4,Female,stubborn|closed|money|power,easy|liberal|open|smart,0,0
R_9TuPBeT8fnsZNgp,$25K to $50K,Not Hispanic,Slightly liberal,46,earthy,rich,haughty,citified,annoying,rich,haughty,worldly,Ind,Independent (excludes leaners),Non-white,4,4,Female,annoying|rich|haughty|worldly,earthy|rich|haughty|citified,0,0
R_cOYiHGWY1lFRarX,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,30,older,poor,uneducated,minority,rich,college educated,anti socialism,freedom,Strong R,Republicans,White,4,4,Female,rich|college educated|anti socialism|freedom,older|poor|uneducated|minority,0,0
R_9FEJczqeFsqiwtv,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,24,young,poor,minority,dependent,business owners,rich,middle class,older,Weak R,Republicans,White,4,4,Female,business owners|rich|middle class|older,young|poor|minority|dependent,0,0
R_6LLwiErY6ZEvCXH,$75K to $100K,Not Hispanic,Extremely Liberal,30,liberal,atheist,peaceful,innovative,conservative,christian,racist,redneck,Lean D,Democrat,White,4,4,Female,conservative|christian|racist|redneck,liberal|atheist|peaceful|innovative,0,0
R_0TwIwxYSIbUFANL,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,37,free,understanding,helpful,likable,conservative,traditional,controlling,judgmental,Weak D,Democrat,Non-white,4,4,Female,conservative|traditional|controlling|judgmental,free|understanding|helpful|likable,0,0
R_8q6S9sWndGILB0p,$100K to $150K,Hispanic,Extremely Liberal,32,liberal,open-minded,blue collar,young,conservative,white collar,rich,country,Strong D,Democrat,White,4,4,Female,conservative|white collar|rich|country,liberal|open-minded|blue collar|young,0,0
R_esoP0mEtfX09rPn,$150K to $200K,Not Hispanic,Slightly conservative,59,welfare,mooches,stupid,dishonest,smart,conservative,honest,patriotic,Lean R,Republicans,White,4,4,Male,smart|conservative|honest|patriotic,welfare|mooches|stupid|dishonest,0,0
R_8J5RuRUOk33y4M5,$100K to $150K,Not Hispanic,Extremely conservative,63,liberal,free loaders,black,hispanic,conservative,middle class,working,solid family,Strong R,Republicans,White,4,4,Male,conservative|middle class|working|solid family,liberal|free loaders|black|hispanic,0,0
R_0DNYGfPKxeHFjhz,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,25,minority,liberal,labor union,government,rural,gun lovers,christian,white,Lean D,Democrat,White,4,4,Female,rural|gun lovers|christian|white,minority|liberal|labor union|government,0,0
R_7QFy65saYmHgdfL,$15K to $25K,Not Hispanic,Slightly liberal,39,trusting,empathetic,progressive,optimistic,non urban,white,uncurious,stagnant,Weak D,Democrat,White,4,4,Female,non urban|white|uncurious|stagnant,trusting|empathetic|progressive|optimistic,0,0
R_bOaTkLf4QzRHPp3,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,56,loser,uninformed,,,smart,,,,Weak D,Democrat,White,2,1,Male,smart|||,loser|uninformed||,1,0
R_ezF7PWldMwMyWl7,$50K to $75K,,Conservative,70,,liberal,,,conservative,,,,Strong R,Republicans,White,1,1,Male,conservative|||,|liberal||,1,0
R_0rJSoLHdW6C4uTH,$150K to $200K,Not Hispanic,Moderate/Haven't thought about it,62,social minded,caring,involved,middle class,wealthy,states rights,pig headed,uncaring,Weak D,Democrat,White,4,4,Female,wealthy|states rights|pig headed|uncaring,social minded|caring|involved|middle class,0,0
R_6zEBEcSJ92QgmfX,$25K to $50K,Not Hispanic,Extremely conservative,57,liberal,not law abiding,uninformed,,conservative,,,,Lean R,Republicans,White,3,1,Female,conservative|||,liberal|not law abiding|uninformed|,1,0
R_2cpNplqLIjfsgkJ,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,28,rich,rich,rich,rich,middle class,middle class,middle class,middle class,Weak R,Republicans,White,4,4,Male,middle class|middle class|middle class|middle class,rich|rich|rich|rich,0,0
R_2f6znPc9xRYlR5P,$100K to $150K,Not Hispanic,Slightly conservative,35,liberal,open,naive,forgiving,white,conservative,angry,duplicitous,Strong D,Democrat,Non-white,4,4,Female,white|conservative|angry|duplicitous,liberal|open|naive|forgiving,0,0
R_2txkOtfBvj49YYB,$15K to $25K,Not Hispanic,Moderate/Haven't thought about it,49,slow,unhelpful,n/a,n/a,n/a,n/a,n/a,n/a,Lean R,Republicans,White,4,4,Female,n/a|n/a|n/a|n/a,slow|unhelpful|n/a|n/a,1,1
R_892oYAaI3Okulq5,$100K to $150K,Not Hispanic,Conservative,24,cheap,free spirited,unrealistic,freeloaders,conservative,responsible,educated,civilized,Strong R,Republicans,White,4,4,Female,conservative|responsible|educated|civilized,cheap|free spirited|unrealistic|freeloaders,0,0
R_1FyhxkBVjrmIC8d,$50K to $75K,Not Hispanic,Liberal,59,nice,good,fair,loving,pompous,arrogant,egotistical,uncaring,Ind,Independent (excludes leaners),White,4,4,Male,pompous|arrogant|egotistical|uncaring,nice|good|fair|loving,0,0
R_bvg9IJtrUnBoAvP,$25K to $50K,Not Hispanic,Conservative,54,lazy,not driven,hand out,slouch,smart,logical,driven,change,Strong R,Republicans,White,4,4,Female,smart|logical|driven|change,lazy|not driven|hand out|slouch,0,0
R_56jDRT2RxQbb737,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,52,welfare,lazy,opinionated,stubborn,conservative,professionals,factory workers,driven,Weak R,Republicans,White,4,4,Female,conservative|professionals|factory workers|driven,welfare|lazy|opinionated|stubborn,0,0
R_884507tj6wovaMB,$75K to $100K,Not Hispanic,Slightly conservative,36,poor,loud,messy,nasty,rich,good looking,clean,nice,Ind,Independent (excludes leaners),Non-white,4,4,Female,rich|good looking|clean|nice,poor|loud|messy|nasty,0,0
R_4ZbuqlJMF7c4VU1,$150K to $200K,Not Hispanic,Slightly liberal,47,liberals,government,,,conservative,,,,Weak D,Democrat,White,2,1,Female,conservative|||,liberals|government||,1,0
R_9LWCNGmc6Nk4Xxb,$100K to $150K,,Slightly conservative,47,liberal,secular,government,care,religious,individualism,military,traditional,Ind,Independent (excludes leaners),Non-white,4,4,Male,religious|individualism|military|traditional,liberal|secular|government|care,0,0
R_9RcMww7WxDCDC1n,$75K to $100K,Not Hispanic,Extremely Liberal,34,liberal,pro-choice,environmental,caring,regressive,authoritarian,racist,bigoted,Lean D,Democrat,White,4,4,Female,regressive|authoritarian|racist|bigoted,liberal|pro-choice|environmental|caring,0,0
R_brUAqKzCqugDEq1,$150K to $200K,Not Hispanic,Moderate/Haven't thought about it,44,liberal,educated,urban,minorities,white,rich,religious,old,Ind,Independent (excludes leaners),White,4,4,Male,white|rich|religious|old,liberal|educated|urban|minorities,0,0
R_3l7P9o0Hl0JrRwF,$50K to $75K,Not Hispanic,Slightly liberal,54,progressive,liberal,tolerant,diverse,conservative,well to do,narrow minded,older,Strong D,Democrat,White,4,4,Male,conservative|well to do|narrow minded|older,progressive|liberal|tolerant|diverse,0,0
R_8eqd7YYj4vH74u9,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,64,liberal,followers,idealistic,unrealistic,conservative,realistic,honest,real,Weak R,Republicans,White,4,4,Male,conservative|realistic|honest|real,liberal|followers|idealistic|unrealistic,0,0
R_bw1mkekf7Z7hBm5,$100K to $150K,Not Hispanic,Slightly liberal,53,pro-choice,educated,urban,tolerant,wealthy,white,male,prejudiced,Lean D,Democrat,White,4,4,Female,wealthy|white|male|prejudiced,pro-choice|educated|urban|tolerant,0,0
R_2otsN6aIk3W9MYR,$50K to $75K,,Liberal,48,open-minded,progressive,updates,young,stagnant,closed minded,resistant to change,rich,Weak D,Democrat,White,4,4,Female,stagnant|closed minded|resistant to change|rich,open-minded|progressive|updates|young,0,0
R_ebOGfS6bKSDdwMd,$100K to $150K,Not Hispanic,Liberal,48,pro-social,inclusive,collectivist,tolerant,conservative,tribal,xenophobic,anti government,Strong D,Democrat,White,4,4,Male,conservative|tribal|xenophobic|anti government,pro-social|inclusive|collectivist|tolerant,0,0
R_bJwHGCyySGRMxN3,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,41,donkey,liberal,leftist,blue,elephant,red,conservative,moderate,Lean R,Republicans,White,4,4,Female,elephant|red|conservative|moderate,donkey|liberal|leftist|blue,0,0
R_8qBFCuHhVamhJuB,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,61,spenders,gun control,followers,lawless,workers,law abiding,non welfare,liberal,Lean R,Republicans,White,4,4,Male,workers|law abiding|non welfare|liberal,spenders|gun control|followers|lawless,0,0
R_bwI0Va5Be3AH5MV,$25K to $50K,Not Hispanic,Liberal,69,workers,women,education,green,conservative,anti union,pro-life,pro-guns,Strong D,Democrat,Non-white,4,4,Male,conservative|anti union|pro-life|pro-guns,workers|women|education|green,0,0
R_4MxXGAIMtFCjuJL,$25K to $50K,,Moderate/Haven't thought about it,58,people,caring,trying,workers,nuts,money hunger,idiots,uninformed,Weak D,Democrat,White,4,4,Male,nuts|money hunger|idiots|uninformed,people|caring|trying|workers,0,0
R_8AhekjuarndCawd,$25K to $50K,Not Hispanic,Slightly conservative,80,liberal,socialist,untraditional,utopian,conservative,patriotic,anti socialist,independent,Weak R,Republicans,White,4,4,Male,conservative|patriotic|anti socialist|independent,liberal|socialist|untraditional|utopian,0,0
R_8ekc4ahS8z4Hpv7,$100K to $150K,Not Hispanic,Slightly conservative,42,liberal,environmentalist,welfare,free,religion,conservative,hardworking,rich,Lean R,Republicans,Non-white,4,4,Female,religion|conservative|hardworking|rich,liberal|environmentalist|welfare|free,0,0
R_6XwxnzBy7fsHfF3,$100K to $150K,Not Hispanic,Conservative,54,liberal,communist,agenda driven,?,thrifty,smart,old school,workers,Lean R,Republicans,White,4,4,Male,thrifty|smart|old school|workers,liberal|communist|agenda driven|?,0,0
R_3dYiypxR575GEgl,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,45,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,Weak R,Republicans,White,4,4,Male,don't know|don't know|don't know|don't know,don't know|don't know|don't know|don't know,1,1
R_6L3HkLTbTbcmu8t,Prefer not to answer,Not Hispanic,Slightly liberal,19,fair,equal,working,social,conservative,racist,bigot,white,Weak D,Democrat,White,4,4,Female,conservative|racist|bigot|white,fair|equal|working|social,0,0
