"","V160001_orig","V161342","V161310x","V161267","V161270","V161244","V162125x","V162174","V162256","V161126","V161155","V161158x","V162031x","V162062x","age_gpt3","church_goer_gpt3","discuss_politics_gpt3","education_gpt3","gender_gpt3","ideology_gpt3","patriotism_gpt3","pid7_gpt3","political_interest_gpt3","race_gpt3","votechoice_2016_gpt3","voted_2016_gpt3"
"38",300092,1,1,54,11,1,1,1,1,4,2,7,1,2,28,1,1,12,1,7,1,7,1,1,2,1
"39",300093,1,5,48,4,2,1,1,1,4,3,3,0,-2,22,2,1,12,1,2,1,5,3,1,42,0
"40",300094,2,2,26,10,1,6,1,2,2,1,2,1,1,24,1,1,12,1,3,1,2,2,1,42,1
"41",300098,-9,1,-9,8,1,1,1,2,6,3,5,1,2,24,1,1,13,1,5,1,7,1,1,2,1
"42",300099,2,1,25,11,1,2,2,2,5,2,7,1,2,29,2,1,12,1,5,1,5,1,1,2,1
"43",300100,2,2,46,13,1,1,1,2,1,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"44",300103,1,1,59,11,1,1,1,1,6,2,7,1,2,30,1,1,12,1,7,1,7,1,1,2,1
"45",300106,2,1,39,12,1,1,1,2,4,3,5,1,2,29,1,1,13,1,5,1,5,1,1,42,1
"46",300107,2,1,52,13,1,1,1,1,3,1,2,1,1,30,1,1,12,1,3,1,2,1,1,42,1
"47",300109,2,5,29,13,1,1,1,3,6,3,4,-2,-2,22,1,1,12,1,5,1,7,1,1,42,1
"48",300111,1,1,46,11,1,1,1,1,4,3,5,1,2,28,1,1,12,1,5,1,7,1,1,2,1
"49",300113,1,6,45,95,2,2,1,2,2,1,1,0,-2,22,2,1,12,1,3,1,5,3,1,42,1
"50",300116,1,2,64,8,1,-6,-6,-6,99,1,2,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"51",300119,2,1,43,11,1,-6,-6,-6,4,3,3,-2,-2,30,1,1,12,1,3,1,5,2,1,42,1
"52",300121,2,1,61,14,1,1,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"53",300123,1,1,30,12,2,-6,-6,-6,5,2,6,-2,-2,30,1,1,12,1,5,1,6,3,1,42,0
"54",300124,1,1,55,11,1,1,1,2,6,2,6,1,2,28,1,1,12,1,5,1,7,1,1,2,1
"55",300131,2,1,35,16,2,4,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"56",300135,2,1,24,12,2,2,2,2,3,3,3,0,-2,22,2,1,12,1,3,2,2,3,1,42,0
"57",300136,2,5,85,2,1,4,2,4,99,5,5,1,1,22,2,1,12,1,5,1,1,3,1,42,1
"58",300137,1,5,61,13,1,2,1,2,4,1,1,1,1,30,1,1,12,1,3,1,5,1,1,1,1
"59",300140,2,1,52,13,1,3,2,3,2,1,1,1,1,30,2,1,12,1,3,1,2,1,1,1,1
"60",300142,1,1,56,9,2,1,1,3,99,3,5,-2,-2,22,1,1,12,1,5,1,5,1,1,42,1
"61",300143,1,2,68,10,1,2,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,2,1,1,1
"62",300144,2,2,76,10,1,2,2,2,99,1,1,1,1,29,2,1,12,1,3,1,5,2,1,42,1
"63",300146,1,1,31,13,2,1,2,4,4,3,5,1,2,30,2,1,12,1,5,1,5,1,1,42,1
"64",300148,2,1,19,13,1,1,1,3,4,2,6,1,2,30,1,1,12,1,5,1,7,1,1,42,1
"65",300150,2,1,47,9,1,-6,-6,-6,99,1,1,-2,-2,22,1,1,12,1,2,1,5,1,1,1,1
"66",300151,2,1,68,11,2,-6,-6,-6,4,3,3,-2,-2,29,1,1,12,1,2,1,5,3,1,42,0
"67",300152,1,1,57,14,1,4,1,1,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"68",300153,2,1,27,9,2,1,2,4,5,3,5,0,-2,22,2,2,12,1,5,1,2,3,1,42,0
"69",300154,2,1,32,9,2,2,1,2,5,3,5,0,-2,22,2,1,12,1,5,1,5,3,1,42,0
"70",300155,1,1,45,12,2,4,1,1,2,1,1,0,-2,22,2,1,12,1,2,1,5,3,1,42,1
"71",300161,2,5,50,7,1,4,1,3,99,1,2,1,1,24,1,1,12,1,3,1,5,2,1,42,1
"72",300165,2,2,68,14,1,1,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"73",300168,1,6,60,10,1,1,1,1,-8,1,1,1,1,28,1,1,12,1,1,1,1,1,1,1,1
"74",300169,2,5,36,13,2,4,1,2,2,3,3,1,1,30,1,1,12,1,3,1,2,1,1,42,1
"75",300170,2,5,27,7,2,2,2,3,99,1,2,1,1,24,2,1,12,1,3,1,2,2,1,42,1
"76",300171,1,3,-8,9,1,1,1,2,4,2,6,0,-2,22,2,1,12,1,5,1,5,3,1,42,1
"77",300172,2,1,46,10,1,2,1,1,4,3,5,1,2,29,1,1,12,1,5,1,5,1,1,42,1
"78",300175,1,1,35,10,2,3,1,2,3,3,3,1,1,30,1,1,12,1,3,1,2,1,1,42,1
"79",300176,2,1,44,9,2,2,2,4,4,3,5,-2,-2,24,2,1,12,1,5,1,5,3,1,42,0
"80",300177,2,2,78,9,1,1,2,4,99,1,2,1,1,24,2,1,12,1,3,1,1,1,1,42,1
"81",300179,1,1,83,13,1,-6,-6,-6,6,3,5,-2,-2,30,1,1,12,1,5,1,7,1,1,2,1
"82",300180,2,5,65,12,2,3,1,2,4,-9,-9,1,1,29,1,1,12,1,3,1,2,1,1,42,1
"83",300181,1,1,55,9,1,2,1,2,4,1,1,1,1,24,1,1,12,1,3,1,5,2,1,1,1
"84",300182,2,5,69,13,1,1,1,1,99,1,1,1,1,30,1,1,12,1,1,1,1,1,1,1,1
"85",300184,1,2,55,13,1,4,1,1,4,3,3,1,1,30,1,1,12,1,3,1,5,1,1,1,1
"86",300185,1,1,31,13,1,4,1,2,3,0,3,0,-2,22,2,1,12,1,3,1,2,3,1,42,1
"87",300186,1,1,68,14,1,2,1,2,2,3,3,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"88",300187,1,1,42,16,1,2,1,1,4,3,5,1,2,35,1,1,13,1,5,1,7,1,1,2,1
"89",300188,2,1,82,9,1,1,1,2,6,2,7,1,2,29,1,1,12,1,7,1,7,1,1,2,1
"90",300195,2,1,53,10,1,-6,-6,-6,7,2,7,-2,-2,30,1,1,12,1,5,1,7,1,1,2,1
"91",300196,1,1,65,13,2,-6,-6,-6,6,2,7,-2,-2,30,1,1,12,1,7,1,6,1,1,2,1
"92",300198,2,2,42,12,1,4,2,4,2,1,2,0,-2,22,2,1,12,1,3,1,2,3,1,42,0
"93",300200,1,5,48,9,2,-6,-6,-6,4,1,2,-2,-2,25,1,1,12,1,3,1,5,3,1,42,0
"94",300204,1,1,30,10,1,1,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"95",300207,2,6,23,13,1,1,1,2,5,3,5,1,2,38,1,1,12,1,5,1,7,1,1,42,1
"96",300209,1,1,51,9,1,2,1,3,5,2,6,1,1,30,1,1,12,1,5,1,2,1,1,42,1
"97",300210,2,1,31,9,2,-6,-6,-6,99,2,7,-2,-2,29,1,1,12,1,7,1,5,1,1,2,1
"98",300212,1,5,68,4,1,-6,-6,-6,4,1,1,-2,-2,25,1,1,12,2,2,1,5,1,1,42,1
"99",300215,2,1,66,14,1,4,1,2,4,0,4,-2,-2,30,1,1,12,1,5,1,2,1,1,42,1
"100",300217,2,1,29,12,1,1,2,4,5,2,6,1,2,29,2,1,12,1,5,1,7,3,1,42,1
"101",300222,2,1,36,13,2,2,1,2,2,1,1,1,1,30,1,1,12,1,3,1,2,2,1,1,1
"102",300224,2,1,47,13,2,1,1,2,3,1,1,1,1,30,1,1,12,1,3,1,2,1,1,1,1
"103",300227,1,1,61,9,2,1,1,2,5,3,4,1,1,24,1,1,12,1,2,1,5,1,1,42,1
"104",300228,2,1,26,13,1,3,1,2,2,1,1,1,1,30,1,1,12,1,3,1,2,1,1,1,1
"105",300230,1,1,88,8,2,1,2,-8,99,2,7,0,-2,22,2,2,12,1,7,1,2,3,1,42,0
"106",300232,2,6,83,3,2,1,1,2,1,1,1,1,2,29,1,1,12,1,1,1,7,1,1,1,1
"107",300234,1,1,51,13,2,3,1,1,3,3,3,1,3,30,1,1,12,1,3,1,2,1,1,42,0
"108",300235,1,1,36,9,2,3,1,3,5,2,6,1,1,28,1,1,12,1,5,1,2,1,1,42,1
"109",300237,2,1,68,11,1,4,1,3,4,3,3,1,1,29,1,1,12,1,3,1,5,1,1,42,1
"110",300238,1,5,23,9,1,4,1,2,4,3,3,-2,-2,22,1,1,12,1,3,1,2,2,1,42,1
"111",300240,2,1,34,10,1,1,1,3,99,3,5,-2,-2,22,1,1,12,1,5,1,5,1,1,42,1
"112",300242,2,1,58,10,1,1,1,3,4,3,5,1,2,29,1,1,12,1,5,1,5,1,1,42,1
"113",300244,1,6,69,13,1,1,1,1,5,3,5,1,2,38,1,1,12,1,5,1,7,1,1,42,1
"114",300245,1,5,19,10,2,2,2,4,99,3,3,0,-2,25,2,2,9,1,5,1,5,3,1,42,0
"115",300246,1,5,30,9,1,4,1,3,99,1,2,1,1,28,1,1,12,1,3,1,2,2,1,42,1
"116",300248,2,1,75,9,2,1,1,1,4,5,4,1,2,29,1,1,12,1,5,1,5,1,1,42,1
"117",300250,1,1,50,9,2,1,1,3,4,3,5,1,2,28,1,1,12,1,5,1,5,1,1,42,1
"118",300252,1,5,54,13,1,1,1,2,99,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"119",300254,2,1,38,9,1,1,2,3,99,1,1,-2,-2,22,2,1,12,1,2,1,5,1,1,42,1
"120",300255,2,1,27,10,2,1,1,2,4,2,6,1,2,29,1,1,12,1,5,1,5,1,1,42,1
"121",300256,2,1,69,11,2,2,2,4,99,0,5,1,2,29,2,1,12,1,5,1,5,3,1,42,1
"122",300259,2,5,43,11,1,-6,-6,-6,5,2,7,-2,-2,29,1,1,12,1,5,1,2,1,1,42,1
"123",300261,2,3,33,9,2,1,2,4,4,3,5,1,3,22,2,1,12,2,5,1,5,1,1,42,0
"124",300264,2,1,87,11,1,-6,-6,-6,4,0,5,-2,-2,30,1,1,12,1,5,1,5,2,1,42,1
"125",300267,1,1,26,9,2,2,1,3,6,2,6,-2,-2,22,1,1,12,1,5,1,6,2,1,42,0
"126",300269,2,5,34,12,1,2,1,2,3,2,6,1,5,24,1,1,12,1,5,1,2,2,1,42,1
"127",300270,2,1,33,13,1,4,1,1,2,3,3,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"128",300273,1,1,57,10,1,2,2,3,6,2,6,1,2,28,2,1,12,1,5,1,7,3,1,42,1
"129",300276,1,1,27,11,1,3,1,2,4,3,5,1,3,28,1,1,12,1,5,1,2,1,1,2,1
"130",300278,2,5,38,9,2,1,1,1,5,3,5,1,2,24,1,1,12,1,5,1,7,1,1,42,1
"131",300279,1,1,81,9,2,1,2,4,99,1,1,1,1,28,2,1,12,1,1,1,7,1,1,42,1
"132",300280,2,1,51,95,1,1,1,3,4,3,3,0,-2,22,2,1,12,1,3,1,5,3,1,42,1
"133",300282,2,1,75,9,1,1,1,2,4,3,3,1,1,24,1,1,12,1,3,1,5,1,1,1,1
"134",300284,2,1,74,11,1,1,1,1,4,2,7,1,2,29,1,1,12,1,7,1,5,1,1,2,1
"135",300289,1,1,43,13,2,3,1,2,4,3,3,1,1,30,1,1,12,1,3,1,5,1,1,42,1
"136",300297,1,1,58,13,1,1,1,2,4,1,1,1,1,30,1,1,12,1,3,1,5,1,1,1,1
"137",300299,2,1,36,13,2,3,1,1,1,3,3,1,3,30,1,1,12,1,3,1,1,1,1,1,1
"138",300303,2,1,23,13,1,1,1,3,99,2,6,0,-2,30,2,1,12,1,5,1,5,3,1,42,1
"139",300304,2,1,88,10,2,1,1,2,7,2,7,0,-2,22,2,1,12,1,7,1,7,1,1,42,1
"140",300307,2,1,57,9,1,1,1,3,5,3,5,1,2,29,1,1,12,1,5,1,7,1,1,42,1
"141",300312,2,1,59,14,2,2,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,2,1,1,1
"142",300313,2,1,86,14,1,1,1,2,6,2,7,1,2,38,1,1,12,1,7,1,7,1,1,2,1
"143",300317,1,5,57,9,2,-6,-6,-6,1,1,1,-2,-2,22,1,1,12,1,2,1,1,1,1,42,0
"144",300322,2,1,84,10,1,1,1,3,99,0,4,1,2,29,1,1,12,1,5,1,7,1,1,42,1
"145",300325,1,5,60,7,2,4,1,4,5,1,2,-2,-2,22,2,2,12,1,5,1,6,3,1,42,0
"146",300326,1,1,45,13,2,4,1,1,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"147",300327,1,1,30,9,2,-6,-6,-6,4,2,7,-2,-2,30,1,1,12,1,7,1,5,1,1,2,1
"148",300333,1,1,78,9,1,-6,-6,-6,6,3,4,-2,-2,30,1,1,12,1,2,1,7,1,1,42,1
"149",300334,2,2,72,13,1,1,1,2,5,1,1,1,1,30,1,1,12,1,3,1,5,1,1,1,1
"150",300335,1,1,36,13,2,3,1,2,3,3,3,1,1,30,1,1,12,1,3,1,5,1,1,42,1
"151",300336,1,1,86,4,2,1,2,4,5,1,1,1,1,24,2,1,12,1,1,1,5,1,1,42,1
"152",300339,-9,1,55,13,2,1,1,1,2,1,1,1,1,30,1,1,12,1,1,1,1,1,1,1,1
"153",300342,2,1,50,10,1,2,1,2,99,3,5,1,3,29,1,1,12,1,5,1,5,2,1,42,1
"154",300343,1,2,68,9,1,3,1,1,2,1,2,1,1,24,1,1,12,1,3,1,1,1,1,42,1
"155",300344,1,1,69,13,2,2,1,2,2,1,1,1,1,30,1,1,12,1,3,1,5,1,1,1,1
"156",300345,2,1,62,10,1,1,1,1,4,3,5,1,2,29,1,1,12,1,5,1,5,1,1,42,1
"157",300352,1,1,42,11,2,2,1,2,4,3,5,-2,-2,25,1,1,12,1,5,1,5,2,1,42,1
"158",300360,2,6,42,10,2,1,1,2,4,1,2,1,2,29,1,1,12,1,3,1,5,1,1,42,1
"159",300361,1,1,25,11,1,1,1,2,4,3,5,1,3,28,1,1,12,1,5,1,2,1,1,2,1
"160",300363,1,5,55,11,2,1,1,1,6,3,5,1,2,29,1,1,12,1,5,1,7,1,1,42,1
"161",300364,2,1,76,14,1,4,1,1,2,1,1,1,1,30,1,1,12,1,1,1,1,1,1,1,1
"162",300371,2,1,31,13,2,4,1,1,1,1,1,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"163",300375,1,1,52,8,2,-6,-6,-6,99,1,2,-2,-2,30,1,1,12,1,3,1,5,3,1,42,0
"164",300376,1,5,35,13,2,4,1,2,2,3,3,1,1,30,1,1,12,1,3,1,2,1,1,42,1
"165",300377,1,2,25,9,1,4,1,1,6,1,1,1,1,24,1,1,12,1,3,1,1,1,1,1,1
"166",300383,2,4,34,9,1,1,1,1,6,2,7,1,3,22,1,1,12,1,7,1,7,1,1,2,1
"167",300386,2,1,38,10,2,3,1,2,99,3,4,1,2,29,1,1,12,1,5,1,5,2,1,42,1
"168",300387,-9,1,73,13,1,1,1,1,5,3,5,1,2,30,1,1,13,1,5,1,7,1,1,2,1
"169",300389,2,1,52,14,1,1,1,2,4,1,2,1,1,30,1,1,12,1,3,1,2,1,1,42,1
"170",300393,2,1,66,10,1,-6,-6,-6,4,2,7,-2,-2,30,1,1,12,1,5,1,5,1,1,2,1
"171",300398,2,1,65,10,2,2,1,-9,4,1,2,1,1,29,1,1,12,1,3,1,5,2,1,42,1
"172",300400,2,1,45,13,1,1,1,2,5,2,7,1,2,35,1,1,12,1,5,1,7,1,1,2,1
"173",300402,1,1,59,12,1,2,1,2,99,2,7,1,2,38,1,1,13,1,5,1,5,2,1,2,1
"174",300403,1,5,25,10,1,4,1,3,99,3,5,-2,-2,25,1,1,12,1,5,1,2,1,1,42,1
"175",300404,2,1,37,14,2,3,1,2,2,1,1,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"176",300406,2,1,66,9,2,1,1,2,99,1,1,1,1,22,1,1,12,1,2,1,5,1,1,1,1
"177",300408,1,1,74,13,1,1,1,2,6,2,7,1,2,30,1,1,12,1,5,1,7,1,1,2,1
"178",300423,1,3,28,13,1,-6,-6,-6,4,0,4,-2,-2,30,1,1,12,1,5,1,5,3,1,42,1
"179",300424,2,2,57,9,1,1,1,1,4,1,1,1,1,24,1,1,12,1,1,1,1,1,1,1,1
"180",300434,1,1,27,9,1,-6,-6,-6,99,0,4,-2,-2,30,1,1,12,1,3,1,5,2,1,42,1
"181",300437,1,1,24,12,2,4,1,2,3,1,2,1,2,28,1,1,12,1,5,1,5,1,1,42,1
"182",300448,1,1,23,10,1,1,2,2,99,-8,5,0,-2,25,2,1,12,1,5,1,5,3,1,42,1
"183",300450,1,1,43,13,2,1,1,2,3,3,3,1,2,30,1,1,12,1,5,1,5,1,1,42,1
"184",300453,2,1,58,13,1,2,1,2,4,3,5,1,2,30,1,1,12,1,5,1,5,2,1,42,1
"185",300454,2,2,42,9,1,1,1,2,99,1,1,0,-2,22,2,1,12,1,2,1,5,1,1,42,1
"186",300456,2,4,57,10,2,1,1,4,4,1,2,1,1,29,1,1,12,1,3,1,2,2,1,42,1
"187",300458,2,6,30,4,1,4,1,1,5,0,3,1,1,24,1,1,12,1,3,1,2,1,1,42,1
"188",300460,1,2,69,8,1,-6,-6,-6,99,1,2,-2,-2,30,1,1,12,1,3,1,5,3,1,42,1
"189",300465,2,1,87,9,1,1,1,2,4,2,6,1,2,29,1,1,12,1,5,1,5,1,1,42,1
"190",300467,1,1,56,12,1,2,1,1,6,2,7,1,2,30,1,1,12,1,5,1,7,1,1,2,1
"191",300473,1,6,18,9,2,-6,-6,-6,99,2,6,-2,-2,29,1,1,12,1,5,1,5,3,1,42,0
"192",300475,1,1,23,12,2,1,1,2,6,2,6,0,-2,22,2,1,12,1,5,1,2,3,1,42,0
"193",300477,1,5,71,12,1,1,1,1,6,2,6,1,-2,28,1,1,12,1,5,1,7,1,1,42,1
"194",300482,2,1,19,9,1,4,1,1,2,1,1,1,1,24,1,1,12,1,2,1,1,1,1,1,1
"195",300488,1,1,44,9,1,2,1,2,4,3,3,0,-2,22,2,1,12,1,3,1,5,2,1,42,1
"196",300493,2,1,21,11,2,3,2,3,4,3,4,-2,-2,24,2,1,12,1,2,3,2,3,1,42,0
"197",300495,1,1,67,10,2,2,1,3,99,3,3,0,-2,28,2,2,12,1,3,1,5,3,1,42,0
"198",300497,2,5,23,7,1,4,1,3,3,3,5,0,-2,22,2,1,12,1,5,3,2,3,1,42,1
"199",300499,2,6,41,13,2,2,1,2,3,1,1,0,-2,22,2,1,12,1,3,1,5,3,1,42,1
"200",300500,1,1,49,12,1,-6,-6,-6,99,2,7,-2,-2,30,1,1,12,1,5,1,5,1,1,2,1
"201",300501,2,1,78,7,1,1,1,1,7,2,7,1,2,22,1,1,12,1,7,1,7,1,1,2,1
"202",300503,2,5,74,13,1,1,2,1,6,2,7,-2,-2,22,2,1,12,1,7,1,7,1,1,42,1
"203",300504,2,1,40,10,1,-6,-6,-6,4,3,4,-2,-2,30,1,1,12,1,3,1,5,2,1,42,1
"204",300517,1,1,53,13,2,1,1,1,6,3,5,1,3,30,1,1,12,1,5,1,7,1,1,2,1
"205",300518,1,1,63,12,1,3,1,1,7,2,6,1,2,30,1,1,13,1,5,1,7,1,1,42,1
"206",300522,2,1,65,11,1,1,1,1,6,2,7,1,2,29,1,1,12,1,7,1,7,1,1,2,1
"207",300526,2,1,64,13,1,1,2,2,4,2,6,1,2,30,2,1,12,1,5,1,5,3,1,42,1
"208",300534,1,1,24,14,2,2,1,1,6,2,7,1,1,30,1,1,12,1,7,1,7,1,1,2,1
"209",300540,1,2,50,9,1,1,1,3,4,3,3,1,1,24,1,1,12,1,3,1,2,1,1,1,1
"210",300541,2,2,23,9,1,2,1,2,5,5,3,1,3,24,1,1,12,1,3,1,2,1,1,42,1
"211",300542,1,1,25,13,2,4,1,1,2,1,1,1,1,30,1,1,12,1,2,1,1,1,1,1,1
"212",300543,2,1,44,13,1,2,1,2,5,3,5,1,5,30,1,1,12,1,5,1,6,2,1,42,1
"213",300545,2,1,76,14,2,1,1,1,1,1,1,1,1,30,1,1,12,1,1,1,1,1,1,1,1
"214",300546,1,1,68,14,1,1,1,1,5,3,5,1,5,30,1,1,12,1,5,1,7,1,1,42,1
"215",300547,2,1,21,10,2,1,1,2,4,3,5,0,-2,22,2,1,12,1,5,1,5,3,1,42,1
"216",300549,2,1,67,11,1,1,2,4,6,1,2,1,3,22,2,1,12,1,3,1,7,1,1,42,0
"217",300552,2,1,68,9,1,1,1,1,6,2,7,1,2,29,1,1,12,1,7,1,7,1,1,2,1
"218",300554,2,3,35,14,2,4,1,2,1,1,1,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"219",300555,1,1,61,10,2,1,1,2,5,2,6,1,2,28,1,1,12,1,5,1,7,1,1,42,1
"220",300558,1,1,25,13,2,4,1,1,2,1,2,1,1,30,1,1,12,1,3,1,1,1,1,42,1
"221",300559,1,1,67,12,1,1,1,2,3,1,1,1,2,28,1,1,12,1,5,1,5,1,1,1,1
"222",300561,1,1,69,13,1,-6,-6,-6,6,2,7,-2,-2,30,1,1,12,1,7,1,7,1,1,2,1
"223",300565,2,1,68,14,1,1,1,3,4,3,5,1,2,36,1,1,12,1,5,1,5,1,1,42,1
"224",300566,1,5,32,9,1,4,1,2,-8,3,4,-2,-2,22,1,1,12,1,5,1,5,3,1,42,1
"225",300569,1,1,62,11,1,2,1,1,7,5,5,1,2,28,1,1,13,1,5,1,7,1,1,2,1
"226",300571,2,1,69,14,1,1,1,2,6,2,7,1,2,38,1,1,12,1,7,1,7,1,1,2,1
"227",300572,1,1,85,14,1,1,1,2,6,2,7,1,2,35,1,1,12,1,7,1,7,1,1,2,1
"228",300574,2,1,88,10,1,-6,-6,-6,99,2,6,-2,-2,30,1,1,12,1,5,1,5,3,1,42,1
"229",300575,1,1,26,13,1,4,1,1,5,2,7,1,1,30,1,1,12,1,5,1,2,1,1,2,1
"230",300578,1,1,38,9,2,1,2,3,99,3,5,0,-2,22,2,1,12,1,5,1,5,3,1,42,0
"231",300581,2,2,50,13,1,3,1,2,99,3,4,1,1,30,1,1,12,1,3,1,2,1,1,42,1
"232",300583,2,1,54,14,1,1,1,2,2,3,3,1,1,30,1,1,12,1,3,1,1,1,1,1,1
"233",300586,2,1,68,14,1,-6,-6,-6,3,3,4,-2,-2,30,1,1,12,1,5,1,2,3,1,42,1
"234",300587,2,5,-9,11,1,1,1,2,4,1,1,1,1,29,1,1,12,1,3,1,2,1,1,42,1
"235",300589,1,1,45,14,1,1,1,2,6,2,7,1,2,35,1,1,12,1,7,1,7,1,1,2,1
"236",300597,2,1,60,13,1,1,1,2,4,3,5,1,1,30,1,1,12,1,5,1,5,1,1,2,1
"237",300600,2,1,53,13,1,-6,-6,-6,6,2,6,-2,-2,30,1,1,12,1,5,1,6,3,1,2,1
"238",300601,2,1,70,10,1,1,1,2,6,2,7,1,2,29,1,1,12,1,7,1,7,1,1,2,1
"239",300603,1,1,75,13,1,-6,-6,-6,7,2,7,1,2,36,1,1,12,1,7,1,7,1,1,2,1
